Map key,Province,Capital,Population ( 2010 ),Area ( km² )
1,Azuay,Cuenca,"712,127","8,309.58"
2,Bolívar,Guaranda,"183,641","3,945.38"
3,Cañar,Azogues,"225,184","3,146.08"
4,Carchi,Tulcán,"164,524","3,780.45"
5,Chimborazo,Riobamba,"458,581","6,499.72"
6,Cotopaxi,Latacunga,"409,205","6,108.23"
7,El Oro,Machala,"600,659","5,766.68"
8,Esmeraldas,Esmeraldas,"534,092","16,132.23"
9,Galápagos,Puerto Baquerizo Moreno,"25,124","8,010.00"
10,Guayas,Guayaquil,"3,645,483","15,430.40"
11,Imbabura,Ibarra,"398,244","4,587.51"
12,Loja,Loja,"448,966","11,062.73"
13,Los Ríos,Babahoyo,"778,115","7,205.27"
14,Manabí,Portoviejo,"1,369,780","18,939.60"
15,Morona Santiago,Macas,"147,940","25,690.50"
16,Napo,Tena,"103,697","12,542.50"
17,Orellana,Puerto Francisco de Orellana,"136,396","21,692.10"
18,Pastaza,Puyo,"83,933","29,641.37"
19,Pichincha,Quito,"2,576,287","9,535.91"
20,Santa Elena,Santa Elena,"308,693","3,690.17"
