Historic trail,BLM states,BLM distance
California,"CA , ID , NV , OR , UT , WY","1,493 miles ( 2,403 km )"
El Camino Real de Tierra Adentro,NM,60 miles ( 97 km )
Iditarod,AK,418 miles ( 673 km )
Juan Bautista de Anza,"AZ , CA",103 miles ( 166 km )
Lewis and Clark,"ID , MT",369 miles ( 594 km )
Mormon Pioneer,WY,498 miles ( 801 km )
Nez Perce,"ID , MT , WY",70 miles ( 110 km )
Old Spanish,"AZ , CA , CO , NV , NM , UT","887 miles ( 1,427 km )"
Oregon,"ID , OR , WY","848 miles ( 1,365 km )"
Pony Express,"NV , UT , WY",596 miles ( 959 km )
