Waterfall,Drop,Province
Della Falls,"440 m ( 1,440 ft )",British Columbia
Hunlen Falls,253 m ( 830 ft ),British Columbia
Panther Falls,183 m ( 600 ft ),Alberta
Helmcken Falls,137 m ( 449 ft ),British Columbia
Bridal Veil Falls,122 m ( 400 ft ),British Columbia
Virginia Falls ( Northwest Territories ),90 m ( 300 ft ),Northwest Territories
Montmorency Falls,84 m ( 276 ft ),Quebec
Twin Falls,80 m ( 260 ft ),British Columbia
Ouiatchouan Falls,79 m ( 259 ft ),Quebec
Churchill Falls,75 m ( 246 ft ),Newfoundland
Brandywine Falls,61 m ( 200 ft ),British Columbia
