Season,Player,School,Position,Class
1996-97,Raef LaFrentz,Kansas,PF,Junior
1997-98,Raef LaFrentz ( 2 ),Kansas,PF,Senior
1998-99,Venson Hamilton,Nebraska,C,Senior
1999-00,Marcus Fizer,Iowa State,PF,Junior
2000-01,Jamaal Tinsley,Iowa State,PG,Senior
2001-02,Drew Gooden,Kansas,PF,Junior
2002-03,Nick Collison,Kansas,PF,Senior
2003-04,Tony Allen,Oklahoma State,SG,Senior
2004-05,Wayne Simien,Kansas,PF,Senior
2005-06,P. J. Tucker,Texas,SF,Junior
2006-07,Kevin Durant *,Texas,SF,Freshman
2007-08,Michael Beasley,Kansas State,PF,Freshman
2008-09,Blake Griffin *,Oklahoma,PF,Sophomore
2009-10,James Anderson,Oklahoma State,SG,Junior
2010-11,Marcus Morris,Kansas,PF,Junior
2011-12,Thomas Robinson,Kansas,PF,Junior
2012-13,Marcus Smart,Oklahoma State,PG,Freshman
2013-14,Melvin Ejim,Iowa State,SF,Senior
2014-15,Buddy Hield,Oklahoma,SG,Junior
2015-16,Buddy Hield * ( 2 ),Oklahoma,SG,Senior
