Rank,Country,Team,Time
1,Tanzania,Fabiano Joseph Martin Sulle John Yuda,3:03:01
2,Kenya,Martin Lel John Cheruiyot Korir Yusuf Songoka,3:03:09
3,Ethiopia,Tesfaye Tola Dereje Adere Mesfin Hailu,3:07:34
4,Morocco,Ridouane Harroufi Abderrahim Goumri Rachid Aït Bensalem,3:09:22
5,Eritrea,Zersenay Tadesse Tekle Menghisteab Tesfayohannes Mesfen,3:09:25
6,Uganda,Wilson Busienei Alex Malinga Martin Toroitich,3:11:46
7,France,Abdelghani Lahlali Tarik Bouzid Mohamed Serbouti,3:11:55
8,Japan,Kazuyuki Maeda Toshinari Suwa Masahiko Takeyasu,3:12:11
9,Italy,Mostafa Errebbah Ottaviano Andriani Sergio Chiesa,3:12:51
10,Spain,Oscar Fernández Ignacio Cáceres Iván Sánchez,3:12:53
11,Algeria,Saïd Belhout Said Hank Kamal Kohil,3:14:31
12,Portugal,Paulo Gomes José Dias Paulo Catarino,3:16:56
13,United States,Brian Sell Teren Jameson Scott Strand,3:17:33
14,Mexico,Odilón Cuahutle Eduardo Rojas Jesús Primo,3:18:00
15,Belgium,Rik Ceulemans Wim Borms Christian Nemeth,3:19:58
16,Ecuador,Franklin Tenorio Francisco Roldán Polibio Méndez,3:27:36
17,China,Sun Wenli Zheng Kai Wang Xiangfeng,3:28:51
-,India,Appachu Chinnappa Kennady Chinna Ramu Shashi Prakash,DNF
