Name,Park,Location,Type
Around the World in 80 Days,Alton Towers,"Alton , Staffordshire , England",Redeveloped Dark Ride
Boo Blasters on Boo Hill,Canada 's Wonderland Carowinds Kings Dominion Kings Island,"Vaughan , Ontario , Canada Charlotte , North Carolina , United States Doswell , Virginia , United States Mason , Ohio , United States",Interactive Dark Ride
Challenge of Tutankhamen,Walibi Belgium,"Wavre , Walloon Brabant , Belgium",Interactive Dark Ride
Den of Lost Thieves,Indiana Beach Seoul Land,"Indiana , United States South Korea",Interactive Dark Ride
E.T . Adventure,Universal Studios Florida Universal Studios Hollywood,"Orlando , Florida , United States Universal City , California , United States",Conventional Dark Ride
El Ultimo Minuto,Dinopolis,"Teruel , Spain",Conventional Dark Ride
Ghost Blasters,Castle Park Great Canadian Midway Nickelodeon Universe Santa Cruz Beach Boardwalk,"Riverside , California , United States Clifton Hill , Ontario , Canada Minneapolis , Minnesota , United States Santa Cruz , California , United States",Interactive Dark Ride
Ghost Blasters II,Elitch Gardens Theme Park,"Denver , Colorado , United States",Interactive Dark Ride
Ghost Hunt,Lake Compounce,"Bristol , Connecticut , United States",Interactive Dark Ride
The Great Pistolero Roundup,Family Kingdom Frontier City,"Myrtle Beach , South Carolina , United States Oklahoma City , Oklahoma , United States",Interactive Dark Ride
Gobbler Getaway,Holiday World & Splashin ' Safari,"Santa Claus , Indiana , United States",Interactive Dark Ride
Haunted Castle,Santa Cruz Beach Boardwalk Galaxyland,"Santa Cruz , California , United States Edmonton , Alberta , Canada",Custom Dark Ride
Haunted Hotel,Myrtle Beach Pavilion,"Myrtle Beach , South Carolina , United States",Redeveloped Dark Ride
Jocco 's Mardi Gras Madness,Six Flags New Orleans,"New Orleans , Louisiana , United States",Interactive Dark Ride
Justice League : Alien Invasion 3D,Warner Bros. Movie World,"Gold Coast , Queensland , Australia",Interactive Dark Ride
Justice League : Battle for Metropolis,Six Flags Over Texas Six Flags St. Louis Six Flags Great America Six Flags Mexico Six Flags Magic Mountain Six Flags Great Adventure Six Flags Over Georgia,"Arlington , Texas , United States Eureka , Missouri , United States Gurnee , Illinois , United States Mexico City , Mexico Valencia , California , United States Jackson , New Jersey , United States Austell , Georgia , United States",Interactive Dark Ride
La Aventura de Scooby-Doo,Parque Warner Madrid,Spain,Interactive Dark Ride
Labyrinth of the Minotaur,Terra Mítica,"Benidorm , Alicante province , Spain",Interactive Dark Ride
Laser Raiders,Legoland Windsor,"Windsor , Berkshire , England",Interactive Dark Ride
Lost Kingdom Adventure,Legoland California Legoland Florida Legoland Malaysia,"Carlsbad , California , United States Winter Haven , Florida , United States Nusajaya , Johor , Malaysia",Interactive Dark Ride
