Scientific name,Common name,Classified,Average size,Conservation status
Cebus capucinus,Colombian white-faced capuchin,1758 Linnaeus,"3,900 g ( 140 oz )",least concern
Cebus imitator,Panamanian white-faced capuchin,1903 Thomas,"3,900 g ( 140 oz )",least concern
Cebus albifrons,Humboldt 's white-fronted capuchin,1812 Humboldt,"2,900-3,400 g ( 100-120 oz )",least concern
Cebus aequatorialis,Ecuadorian white-fronted capuchin,1914 Allen,"2,900-3,400 g ( 100-120 oz )",critically endangered
Cebus yuracus,Marañón white-fronted capuchin,1949 Hershkovitz,"2,900-3,400 g ( 100-120 oz )",
Cebus cesarae,Río Cesar white-fronted capuchin,1949 Hershkovitz,"2,900-3,400 g ( 100-120 oz )",data deficient
Cebus malitiosus,Santa Marta white-fronted capuchin,1909 Elliot,"2,900-3,400 g ( 100-120 oz )",endangered
Cebus cuscinus,Shock-headed capuchin,1901 Thomas,"2,900-3,400 g ( 100-120 oz )",near threatened
Cebus leucocephalus,Sierra de Perijá white-fronted capuchin,1866 Gray,"2,900-3,400 g ( 100-120 oz )",
Cebus unicolor,Spix 's white-fronted capuchin,1823 Spix,"2,900-3,400 g ( 100-120 oz )",
Cebus versicolor,Varied white-fronted capuchin,1845 Pucheran,"2,900-3,400 g ( 100-120 oz )",endangered
Cebus olivaceus,Wedge-capped capuchin,1848 Schomburgk,,least concern
Cebus brunneus,Brown weeper capuchin,1914 Allen,,least concern
Cebus kaapori,Kaapori capuchin,1992 Queiroz,,critically endangered
Sapajus apella,Tufted capuchin,1758 Linnaeus,"1,900-4,800 g ( 67-169 oz )",least concern
Sapajus libidinosus,Black-striped capuchin,1823 Spix,,least concern
Sapajus nigritus,Black capuchin,1809 Goldfuss,,near threatened
Sapajus xanthosternos,Golden-bellied capuchin,1826 Wied,,critically endangered
Sapajus flavius,Blond capuchin,1774 Schreber,"2,000-3,000 g ( 71-106 oz )",critically endangered
Sapajus cay,Azaras 's capuchin,1815 Illiger,,least concern
