Parent-in-law,Child-in-law,Country,Note ( s )
B.J . Annis,Fay,Canada,Fay married Brad 's son Edward
Afa Anoaʻi,Gary Albright,"American Samoa , United States",Gary married Afa 's daughter Monica
Ben Bassarab,Pete Wilson,Canada,Peter married Ben 's daughter Brooke
Ángel Blanco,Ángel Blanco II,Mexico,
Eddie Guerrero and Vickie Guerrero,Aiden English,"Mexico , United States",Matthew married Eddie and Vickie 's daughter Raquel Diaz
Stu Hart and Helen Hart,Stacey Angel,Canada,Stacey was Stu and Helen 's son Smith 's common-law wife
Stu Hart and Helen Hart,B.J . Annis,"Canada , United States",Brad married Stu and Helen 's daughter Georgia
Stu Hart and Helen Hart,Ben Bassarab,Canada,Ben married Stu and Helen 's daughter Alison
Stu Hart and Helen Hart,Julie Hart,Canada,Julie married Stu and Helen 's son Bret
Stu Hart and Helen Hart,Martha Hart,Canada,Martha married Stu and Helen 's son Owen
Stu Hart and Helen Hart,Jim Neidhart,"Canada , United States",Jim married Stu and Helen 's daughter Ellie
Stu Hart and Helen Hart,Davey Boy Smith,"Canada , Great Britain",David married Stu and Helen 's daughter Diana
Peter Maivia,Rocky Johnson,"United States , Canada",
Eddie Marlin,Jerry Jarrett,United States,
Vince McMahon and Linda McMahon,Triple H,United States,Triple H married Vince and Linda 's daughter Stephanie McMahon
Blackjack Mulligan,Mike Rotunda,United States,
Jim Neidhart,Tyson Kidd,Canada,Theodore married Jim 's daughter Natalie
