Season,Winner,Team,Points,Win #
1917-18,Joe Malone,Montreal Canadiens,48,1
1918-19,Newsy Lalonde,Montreal Canadiens,32,1
1919-20,Joe Malone,Quebec Bulldogs,49,2
1920-21,Newsy Lalonde,Montreal Canadiens,43,2
1921-22,Punch Broadbent,Ottawa Senators,46,1
1922-23,Babe Dye,Toronto St. Pats,37,1
1923-24,Cy Denneny,Ottawa Senators,24,1
1924-25,Babe Dye,Toronto St. Pats,44,2
1925-26,Nels Stewart,Montreal Maroons,42,1
1926-27,Bill Cook,New York Rangers,37,1
1927-28,Howie Morenz,Montreal Canadiens,51,1
1928-29,Ace Bailey,Toronto Maple Leafs,32,1
1929-30,Cooney Weiland,Boston Bruins,73,1
1930-31,Howie Morenz,Montreal Canadiens,51,2
1931-32,Harvey Jackson,Toronto Maple Leafs,53,1
1932-33,Bill Cook,New York Rangers,50,2
1933-34,Charlie Conacher,Toronto Maple Leafs,52,1
1934-35,Charlie Conacher,Toronto Maple Leafs,57,2
1935-36,Sweeney Schriner,New York Americans,45,1
1936-37,Sweeney Schriner,New York Americans,46,2
