Event,Gold,Silver,Bronze
Men 's air pistol SH1 details,Jian Fei Li China,Vanco Karanfilov Macedonia,Hubert Aufschnaiter Austria
Men 's air rifle standing SH1 details,Jonas Jacobsson Sweden,Franc Pinter Slovenia,Ashley Adams Australia
Men 's free rifle 3x40 SH1 details,Jonas Jacobsson Sweden,Dan Jordan United States,Doron Shaziri Israel
Women 's air pistol SH1 details,Isabel Newstead Great Britain,Chin Mei Lin Chinese Taipei,Yelena Taranova Azerbaijan
Women 's air rifle standing SH1 details,Manuela Schmermund Germany,Myung Sook Her South Korea,Sabine Brogle Germany
Women 's sport rifle 3x20 SH1 details,Myung Sook Her South Korea,Im Yeon Kim South Korea,Manuela Schmermund Germany
Mixed air rifle prone SH1 details,Jonas Jacobsson Sweden,Jae Yong Sim South Korea,Kazimierz Mechula Denmark
Mixed air rifle prone SH2 details,Minna Leinonen Finland,Gyoung You Ho South Korea,Johnny Andersen Denmark
Mixed air rifle standing SH2 details,Michael Johnson New Zealand,Thomas Johansson Sweden,Viktoria Wedin Sweden
Mixed free pistol SH1 details,Andrey Lebedinskiy Russia,Roland Hartmann Germany,Muharrem Korhan Yamac Turkey
Mixed free rifle prone SH1 details,Jonas Jacobsson Sweden,Ashley Adams Australia,Doron Shaziri Israel
Mixed sport pistol SH1 details,Muharrem Korhan Yamac Turkey,Hubert Aufschnaiter Austria,Andrey Lebedinskiy Russia
