#,Name,Pos,College,GP,Seasons
42,John Adams,OL,Notre Dame,55,1945-49
50,Willie Adams,DE / LB,New Mexico State,28,1965-66
58,Mario Addison,LB,Troy,5,2012
25/44,Nick Adduci,DB,Nebraska,22,1954-55
61,Mark Adickes,OL,Baylor,24,1990-92
19,Joe Aguirre,TE,St. Mary 's ( Cal . ),40,"1941 , 1943-45"
18,Frank Akins,RB,Washington State,30,1943-46
42,Dick Alban,DB,Northwestern,48,1952-55
67,Ethan Albright,C / LS / OT,North Carolina,144,2001-09
55,Ki Aldrich,C,Texas Christian,51,"1941-42 , 1945-47"
39,Adonis Alexander,CB,Virginia Tech,9,2018- present
79/97,Lorenzo Alexander,DT / LB,California,92,2006-12
58,Patrise Alexander,LB,Louisiana-Lafayette,33,1996-98
80,Stephen Alexander,TE,Oklahoma,53,1998-01
89,Anthony Allen,WR,Washington,17,1987-89
20,Jerry Allen,RB,Nebraska-Omaha,24,1967-69
52,Johnny Allen,OL,Purdue,48,1955-58
95/93,Jonathan Allen,DE,Alabama,21,2017- present
21,Terry Allen,HB,Clemson,52,1995-98
81,Mack Alston,TE,Maryland-Eastern Shore,34,1970-72
