Rank,Athlete,Nationality,Time
1,Jack Holden,England,53:40.8
2,Robbie Sutherland,Scotland,53:50
3,John Suttie Smith,Scotland,53:54
4,Bert Footer,England,53:58
5,George Bailey,England,54:30
6,Tom Evenson,England,54:34
7,William Eaton,England,54:36
8,René Lécuron,France,54:44
9,Arthur Penny,England,54:47
10,Victor Honorez,Belgium,54:49
11,Harry McIntosh,Scotland,54:51
12,Jim Flockhart,Scotland,54:53
13,Harry Gallivan,Wales,54:54
14,Wally Clift,England,54:56
15,Fernand Le Heurteur,France,54:59
16,William Slidders,Scotland,55:06
17,Paul Lallement,France,55:25
18,Sammy Tombe,Scotland,55:29
19,Moussa Bourachedi,France,55:40
20,Robert Arnold,France,55:45
