Year,Title,Role,Notes
2001,Band of Brothers,Capt . Ronald Speirs,Miniseries ; 6 episodes
2002,ER,Brian Westlake,5 episodes
2003,The Practice,Russell Bakey,3 episodes
2003,CSI : Miami,Art Pickering,Episode : Death Grip
2004,Decisive Battles,Himself,Host ; 13 episodes
2005,Into the West,Jacob Wheeler,Miniseries ; 3 episodes
2005,Law & Order : Special Victims Unit,Jackson Zane,Episode : Storm
2006,Brothers and Sisters,Jonathan Sellers,4 episodes
2007,The Wedding Bells,Michael Madison,2 episodes
2007-12,Gossip Girl,Rufus Humphrey,Main cast ; 119 episodes Teen Choice Award for Choice TV : Parental Unit
2016,Criminal Minds : Beyond Borders,Daniel Wolf,1 episode
