Player,Team,Winning bid,Base price
Shahid Afridi,Dhaka Gladiators,"$ 700,000","$ 100,000"
Chris Gayle,Barisal Burners,"$ 551,000","$ 100,000"
Marlon Samuels,Duronto Rajshahi,"$ 360,000","$ 50,000"
Kieron Pollard,Dhaka Gladiators,"$ 300,000","$ 100,000"
Nasir Hossain,Khulna Royal Bengals,"$ 200,000","$ 45,000"
Shoaib Malik,Chittagong Kings,"$ 150,000","$ 100,000"
Dwayne Bravo,Chittagong Kings,"$ 150,000","$ 100,000"
Brad Hodge,Barisal Burners,"$ 140,000","$ 100,000"
Mahmudullah,Chittagong Kings,"$ 110,000","$ 45,000"
Jahurul Islam,Chittagong Kings,"$ 110,000","$ 30,000"
Sanath Jayasuriya,Khulna Royal Bengals,"$ 110,000","$ 100,000"
Muttiah Muralitharan,Chittagong Kings,"$ 100,000","$ 100,000"
Nasir Jamshed,Chittagong Kings,"$ 100,000","$ 25,000"
Abdul Razzaq,Duronto Rajshahi,"$ 100,000","$ 100,000"
Saeed Ajmal,Dhaka Gladiators,"$ 100,000","$ 100,000"
Sohail Tanvir,Sylhet Royals,"$ 100,000","$ 50,000"
Rana Naved-ul-Hasan,Dhaka Gladiators,"$ 100,000","$ 50,000"
Kamran Akmal,Sylhet Royals,"$ 100,000","$ 50,000"
Herschelle Gibbs,Khulna Royal Bengals,"$ 100,000","$ 100,000"
Naeem Islam,Sylhet Royals,"$ 90,000","$ 30,000"
