Event,Record,Name,Nation,Games,Date
50 m freestyle,26.44,Andrea Murez,United States ( USA ),2009,"July 22 , 2009"
100 m freestyle,56.64,Andrea Murez,United States ( USA ),2009,"July 19 , 2009"
200 m freestyle,2:03.45,Andrea Murez,United States ( USA ),2009,"July 20 , 2009"
400 m freestyle,4:19.45,Lissa Martin,United States ( USA ),1993,"July 15 , 1993"
800 m freestyle,8:52.58,Olga Beresnyev,Israel ( ISR ),2005,"July 14 , 2005"
100 m backstroke,1:03.93,Anna Volchkov,Israel ( ISR ),2009,"July 21 , 2009"
200 m backstroke,2:18.36,Danit Kama,Israel ( ISR ),2005,"July 10 , 2005"
100 m breaststroke,1:09.87,Yuliya Banach,Israel ( ISR ),2009,"July 21 , 2009"
200 m breaststroke,2:40.29,Ruth Grodetzki,United States ( USA ),1989,"July 15 , 1989"
100 m butterfly,58.50,Amit Ivry,Israel ( ISR ),2009,"July 20 , 2009"
200 m butterfly,2:18.03,Sheryl Segal,United States ( USA ),1985,"July 15 , 1985"
200 m individual medley,2:20.74,Andrea Murez,United States ( USA ),2009,"July 22 , 2009"
400 m individual medley,4:57.15,Amit Bechar,Israel ( ISR ),2009,"July 20 , 2009"
4×100 m freestyle relay,3:53.55,Naomi Javanifard ( 58.22 ) Haley Mitchell ( 59.93 ) Danielle Arad ( 58.93 ) Andrea Murez ( 56.47 ),United States ( USA ),2009,"July 20 , 2009"
4×200 m freestyle relay,♦8:32.12,Noam Bechar ( 2:09.78 ) Amit Bechar ( 2:09.55 ) Efrat Rotshtein ( 2:07.74 ) Keren Ziebner ( 2:05.05 ),Israel ( ISR ),2009,"July 21 , 2009"
4×100 m medley relay,4:17.60,Dekel Shahaff ( 1:05.84 ) Amit Loutati ( 1:13.90 ) Kristina Tchernychev ( 1:00.92 ) Keren Ziebner ( 56.94 ),Israel ( ISR ),2009,"July 22 , 2009"
