Date,Fight,Billing,Viewership ( avg . ),Network
1 April 2000,Vitali Klitschko vs. Chris Byrd,Klitschko vs. Byrd,"9,790,000",Sat.1
8 December 2001,Vitali Klitschko vs. Ross Puritty,Revenge Of The Brother II,"7,390,000",Sat.1
23 November 2002,Vitali Klitschko vs. Larry Donald,Klitschko vs. Donald,"10,590,000",ZDF
11 October 2008,Samuel Peter vs. Vitali Klitschko,Dangerzone,"9,670,000",RTL Television
21 March 2009,Vitali Klitschko vs. Juan Carlos Gomez,Universum Presents Boxing,"10,880,000",RTL Television
12 December 2009,Vitali Klitschko vs. Kevin Johnson,Klitschko Time,"11,160,000",RTL Television
29 May 2010,Vitali Klitschko vs. Albert Sosnowski,Fists Of Steel,"6,710,000",RTL Television
16 October 2010,Vitali Klitschko vs. Shannon Briggs,Thunderstorm,"13,290,000",RTL Television
19 March 2011,Vitali Klitschko vs. Odlanier Solis,Dr. Eisenfaust vs. La Sombra,"10,980,000",RTL Television
10 September 2011,Vitali Klitschko vs. Tomasz Adamek,Battle Of The 21st Century,"9,510,000",RTL Television
18 February 2012,Vitali Klitschko vs. Dereck Chisora,Showdown in Munich,"12,880,000",RTL Television
8 September 2012,Vitali Klitschko vs. Manuel Charr,Klitschko vs. Charr,"8,750,000",RTL Television
