Princess,Birth,Death,Marriage,Husband,Comments
Princess Caroline of Brandenburg-Ansbach,1683,1737,1705,"George , Prince of Wales",Gained title by accession of her father-in-law as George I in 1714 and held it until her husband 's accession as George II in 1727
Princess Augusta of Saxe-Gotha,1719,1772,1736,"Frederick , Prince of Wales",
Maria Walpole,1736,1807,1766,"Prince William Henry , Duke of Gloucester and Edinburgh",
Anne Horton,1742,1808,1771,"Prince Henry , Duke of Cumberland and Strathearn",Gained title by her second marriage
Princess Frederica Charlotte of Prussia,1767,1820,1791,"Prince Frederick , Duke of York and Albany",
Duchess Caroline of Brunswick-Wolfenbüttel,1768,1821,1795,"George , Prince of Wales",Held title until her husband 's accession as George IV in 1820
Duchess Frederica of Mecklenburg-Strelitz,1778,1841,1815,"Prince Ernest Augustus , Duke of Cumberland and Teviotdale",Gained title by her third marriage and held title until her husband 's accession as King Ernest Augustus of Hanover in 1837
Princess Augusta of Hesse-Kassel,1797,1889,1818,"Prince Adolphus , Duke of Cambridge",
Princess Victoria of Saxe-Coburg-Saalfeld,1786,1861,1818,"Prince Edward , Duke of Kent and Strathearn",Gained title by her second marriage
Princess Adelaide of Saxe-Meiningen,1792,1849,1818,"Prince William , Duke of Clarence and St Andrews",Held title until her husband 's accession as William IV in 1830
Princess Marie of Saxe-Altenburg,1818,1907,1843,"George , Crown Prince of Hanover",Held title until her husband 's accession as George V of Hanover in 1851
Princess Alexandra of Denmark,1844,1925,1863,"Albert Edward , Prince of Wales",Held title until her husband 's accession as Edward VII in 1901
Grand Duchess Maria Alexandrovna of Russia,1853,1920,1874,"Prince Alfred , Duke of Edinburgh",Held title until her husband 's accession as Duke of Saxe-Coburg and Gotha in 1893
Princess Thyra of Denmark,1853,1933,1878,"Ernest Augustus , Crown Prince of Hanover",Husband lost British title of Prince in 1917
Princess Louise Margaret of Prussia,1860,1917,1879,"Prince Arthur , Duke of Connaught and Strathearn",
Princess Helena of Waldeck and Pyrmont,1861,1922,1882,"Prince Leopold , Duke of Albany",
Princess Mary of Teck,1867,1953,1893,"Prince George , Duke of York",Held title until her husband 's accession as George V in 1910
Princess Victoria Adelaide of Schleswig-Holstein,1885,1970,1905,"Prince Charles Edward , Duke of Albany",Husband lost British title of Prince in 1919
Princess Viktoria Luise of Prussia,1892,1980,1913,"Ernest Augustus , Duke of Brunswick",Husband lost British title of Prince in 1917 . Princess Viktoria Luise was born Princess of Prussia being the only daughter of the German Kaiser Wilhelm II
Lady Elizabeth Bowes-Lyon,1900,2002,1923,"Prince Albert , Duke of York",Held title until her husband 's accession as George VI in 1936
