Name,Country,Sport,Banned substance
Ali Dad,Afghanistan,Wrestling,Furosemide
Kerrith Brown,Great Britain,Judo,Furosemide
Kalman Csengeri,Hungary,Weightlifting,Stanozolol
Mitko Grablev,Bulgaria,Weightlifting,Furosemide
Angell Guenchev,Bulgaria,Weightlifting,Furosemide
Ben Johnson,Canada,Athletics,Stanozolol
Fernando Mariaca,Spain,Weightlifting,Pemoline
Jorge Quesada,Spain,Modern pentathlon,Propanolol
Andor Szanyi,Hungary,Weightlifting,Stanozolol
Alexander Watson,Australia,Modern Pentathlon,Caffeine
