rank,officer,service
Colonel,Peter Brownback,United States Army
Captain,Keith J. Allred,United States Navy
Colonel,W. Thomas Cumbie,United States Air Force
Colonel,Ronald A. Gregory,United States Air Force
Colonel,Ralph H. Kohlmann,United States Marine Corps
Lieutenant Colonel,Nancy J. Paul,United States Marine Corps
Colonel,James L. Pohl,United States Army
Colonel,Robert Chester,United States Marine Corps
Colonel,Steven David,United States Army Reserve
Colonel,Patrick Parrish,United States Army
Captain,Moira Modzelewski,United States Navy
Lieutenant Colonel,Raymond Eugene Beal II,United States Marine Corps
Colonel,Stephen R. Henley,United States Army
Captain,Bruce W. Mackenzie,United States Navy
