Year,Title,Notes
2019,Lady and the Tramp,Starring Tessa Thompson and Justin Theroux
2017,Baywatch,Starring Dwayne Johnson and Zac Efron
2016,The Do-Over,Starring Adam Sandler and David Spade
2015,The SpongeBob Movie : Sponge Out of Water,Filmed in both Savannah and Tybee Island . Starring Antonio Banderas
2010,The Conspirator,"Filmed completely in Savannah . The Conspirator is a 2010 historical drama about the trial of Mary Surratt , the only female co-conspirator in the Abraham Lincoln assassination and the first woman to be hanged by the United States federal government . It stars Robin Wright Penn , James McAvoy , Justin Long , Evan Rachel Wood , Tom Wilkinson , Alexis Bledel , Kevin Kline , and Toby Kebbell"
2010,The Last Song,"Filmed in both Savannah and Tybee Island , The Last Song is the film adaptation of the Nicholas Sparks book by the same name . It stars Miley Cyrus , Greg Kinnear , and Liam Hemsworth . The film 's storyline follows a troubled teenager , played by Cyrus , and her estranged father , played by Kinnear , as they reconnect with each other through music during a summer in a quiet Southern beach town"
2005,Boogeyman,A young man tries to deal with the childhood terror that has affected his life . Starring Barry Watson
2005,Red Thread,
2005,Snap,Savannah College of Art and Design student film starring actor Bubba Lewis . A young boy must defend his house after his parents are brutally murdered
2004,95 Miles to Go,
2004,Damn Good Dog,A profile of University of Georgia mascot Uga
2003,Undertow,
2000,Meeting Daddy,
2000,The Gift,A woman with extrasensory perception is asked to help find a young woman who has disappeared . Starring Cate Blanchett and Katie Holmes
1999,The Legend of Bagger Vance,"A disillusioned war veteran , Captain Rannulph Junah , reluctantly agrees to play a game of golf . He finds the game futile until his caddy , Bagger Vance , teaches him the secret of the authentic golf stroke which turns out also to be the secret to mastering any challenge and finding meaning in life . Starring Will Smith , Matt Damon , and Charlize Theron"
1998,Claudine 's Return,"starring Christina Applegate , it was released as Kiss of Fire on DVD"
1998,Forces of Nature,Only the last 15 to 20 minutes of the film takes place in Savannah . A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff . Starring Ben Affleck and Sandra Bullock
1998,The General 's Daughter,Portions were filmed on the campus of Savannah State University and a plantation house on the outskirts of Savannah
1997,The Dinner,
1997,The Gingerbread Man,
