Name,Type,Work,Notes
Buttercup,Skunk,Bambi 's Children,One of Flower 's daughters in the 1940s Disney comic book adaptation of the book by the same name
Croque-Monsieur,Ferret,Sibylline,"The major antagonist of the series , who roams the woods with a carving knife"
Les Croquillards,Ferret / Stone marten,Chlorophylle,The Croquillards are a ferret and stone marten who act as cronies to Anthracite the rat
Fungo Squiggly,Ferret,Get Fuzzy,The ferret antagonist
Geoffrey St. John,Skunk,Sonic the Hedgehog,"A skunk that served as an agent on the Royal Secret Service . He falls in love with Hershey and they marry during Sonic 's return to space . Eventually Geoffrey starts working alongside the Ixis Wizard , Naugus . Never existed in the rebooted retconned history of Mobius ( after # 252 )"
Gwenneth,Skunk,Kevin and Kell,"One of twenty skunks , adopted children of antagonists R. L. and Angelique"
Hoeg,Otak,A Wizard of Earthsea,A small brown mustelid who accompanies the protagonist for much of the book
Kiki,Ferret,Sluggy Freelance,One of the main cast members
Martin Marty Miller,Skunk,Circles,He is the youngest of the six main characters and is introduced to the others at the beginning of the story . He becomes Taye 's boyfriend and is also an audience surrogate
Basil MacTabolism,Skunk,Pogo,A polecat who is a door-to-door politician
Miss Mam'selle Hepzibah,Skunk,Pogo,Originally Porky Pine 's love interest ; typically kept a French ( ish ) accent distinct from the others '
Primrose,Skunk,Bambi 's Children,One of Flower 's daughters in the 1940s Disney comic book adaptation of the book by the same name
Rappy,Otter,Rappy the River Otter,Protagonist of the Web comic Rappy the River Otter
Rough,Skunk,Sonic the Hedgehog,"He is an evil mercenary and he is the brother of his partner , Tumble"
Sabrina,Skunk,Sabrina Online,"Protagonist of Eric Schwartz 's web comic , Sabrina Online"
Sissi Skunk,Skunk,The Abominable Charles Christopher,An entrepreneur and magnate from the webcomic by Karl Kerschl
Torpile,Otter,Chlorophylle,Good friend of Chlorophylle
Tumble,Skunk,Sonic the Hedgehog,"He is an evil mercenary and he is the brother of his partner , Rough"
Weather Weasel,Weasel,Just ' a Lotta Animals,Weasel version of Weather Wizard
Weekly,Least Weasel,Blacksad,"Rumoured to only change his underwear once a week , hence his nickname"
