Electoral district,Member elected,Party,Election date,Reason
Estevan,George Alexander Bell,Liberal,"September 5 , 1912",Bell ran for reelection after being named to cabinet
Redberry,George Langley,Liberal,"September 5 , 1912",Langley ran for reelection after being named to cabinet
South Qu'Appelle,Joseph Glenn,Conservative,"December 4 , 1912",Frederick W.A.G . Haultain named Chief Justice of the Superior Court of Saskatchewan
Hanley,Macbeth Malcolm,Liberal,"June 28 , 1913",James Walter MacNeill resigned to travel abroad and study mental diseases
Cumberland,Deakin Alexander Hall,Liberal,"September 8 , 1913",Election in 1912 declared void
North Qu'Appelle,James Garfield Gardiner,Liberal,"June 25 , 1914",JA McDonald resigned from the assembly in 1914 after admitting to corrupt practices on the part of his agent during the 1912 election
Rosthern,William Benjamin Bashford,Liberal,"June 25 , 1914",Gerhard Ens resigned his seat in the assembly in 1913 when he was named Inspector of Public Institutions
Shellbrook,Edgar Sidney Clinch,Liberal,"May 10 , 1915",Samuel James Donaldson ran for House of Commons seat
Kinistino,Charles Avery Dunning,Liberal,"November 13 , 1916",EH Devline convicted of forgery and sent to prison
Regina City,William Melville Martin,Liberal,"November 13 , 1916",James Franklin Bole named Saskatchewan liquor commissioner
Moose Jaw County,John Edwin Chisholm,Conservative,"December 5 , 1916",Election requested by JA Sheppard to give him the opportunity of vindicating his character by an appeal to the people
