Name,Origin,Description
Babka,Eastern Europe,Cinnamon and chopped nuts or Chocolate swirled into a challah ( egg ) bread/cake
Bagel,Poland,Circle of boiled and baked yeast bread
Bialy,Poland,"Similar to the bagel , but without the hole , filled with onions and other ingredients before baking"
Borscht,Ukraine,"Beetroot soup , usually served with sour cream"
Blintz,"Russia , Ukraine , Hungary","Thin egg pancake wrapped around a sweet mixture of farmer 's cheese , potato , or fruit pie filling , similar to a crêpe , but with the ends tucked in and fried again in butter ; often served with sour cream"
Brisket,Central and Eastern Europe,Braised meat from the chest area of a cow
Bublitchki,"Belarus , Russia , Ukraine","Mini hard bagel -shaped sweet breads , commonly eaten with tea or coffee"
Challah,Southern Germany,Braided egg bread
Charoset,,Apple and nut dish generally served at Passover
Chicken soup,,"A traditional soup for the Sabbath evening dinner , usually spiced with parsley and/or dill , and served with kneidlach or kreplach and vegetables"
Cholent/Chamin,,"A slow-cooked stew of meat , potatoes , beans and barley often served on the Sabbath"
Chopped liver,,"Chopped or minced roasted beef or chicken liver , mixed with hard boiled eggs , onions , and spices"
Chrain,Europe,"Pickled chopped horseradish , sometimes with beets"
Eyerlekh,,"Unhatched eggs found inside just-slaughtered chickens , typically cooked in soup"
Farfel,,Small pellet-shaped egg pasta . A Passover version made from matzo is called matzo farfel
Gedempte Fleisch,,"Ashkenazic pot roast , traditionally made with beef , various vegetables , tomato paste , and spices"
Gefilte fish,Central and Eastern Europe,"Originally a stuffed fish , filled with a mixture of chopped fish , eggs , onions , matzo meal or crumbs , and spices . Nowadays , it usually refers to poached fish cakes or a fish loaf , sometimes made with matzo meal"
Goulash,Hungary,Spicy meat stew
Gribenes,,"Chicken or goose skin cracklings with fried onions , a kosher food somewhat similar to pork rinds . A byproduct of the preparation of schmaltz by rendering chicken or goose fat"
Hamantashen,,"Triangular pastry filled with poppy seed or prune paste , or fruit jams , eaten during Purim"
