Date,Name,Moving from,Moving to,Fee
2 May 2006,Grzegorz Rasiak,Tottenham Hotspur,Southampton,£2m
6 May 2006,DJ Campbell,Brentford,Birmingham City,£2m
8 May 2006,Jimmy Bullard,Wigan Athletic,Fulham,£2.5m
15 May 2006,Michael Ballack,Bayern Munich,Chelsea,Free
23 May 2006,Tomáš Rosický,Borussia Dortmund,Arsenal,£6.8m
24 May 2006,David Sommeil,Manchester City,Sheffield United,Free
25 May 2006,Robert Pires,Arsenal,Villarreal,Free
26 May 2006,Paul Dickov,Blackburn Rovers,Manchester City,Free
30 May 2006,Andrew Johnson,Crystal Palace,Everton,£8.6m
30 May 2006,Salomon Kalou,Feyenoord,Chelsea,Undisclosed
31 May 2006,Andriy Shevchenko,A.C. Milan,Chelsea,£30m
31 May 2006,Cameron Jerome,Cardiff City,Birmingham City,£3m
1 June 2006,Henrique Hilário,Nacional Madeira,Chelsea,Free
1 June 2006,Andy Gray,Sunderland,Burnley,£750k
2 June 2006,John Obi Mikel,Manchester United,Chelsea,£16m
6 June 2006,Juan Sebastián Verón,Chelsea,Estudiantes,Two-season long loan
8 June 2006,Lee Bowyer,Newcastle United,West Ham United,£3.5m
14 June 2006,Michael Chopra,Newcastle United,Cardiff City,£500k
14 June 2006,Joleon Lescott,Wolverhampton Wanderers,Everton,£5m
14 June 2006,Claude Davis,Preston North End,Sheffield United,£3.5m
