Rank,Player,Club ( s ),Years,Tries
1,Tom Varndell,"Leicester , Wasps , Bristol",2004-2017,92
2,Mark Cueto,Sale,2001-2015,90
3,Chris Ashton,"Northampton , Saracens , Sale",2008-,85
4,Christian Wade,Wasps,2011-2018,82
5,Steve Hanley,Sale,1998-2007,75
6,Paul Sackey,"Bedford , London Irish , Wasps , Harlequins",1999-2014,69
7,Matt Banahan,"Bath , Gloucester",2007-,68
8,Tom Voyce,"Bath , Wasps , Gloucester , London Welsh",2000-2013,66
9,Jonny May,"Gloucester , Leicester",2010-,65
10,James Simpson-Daniel,Gloucester,2000-2013,63
