Medal,Name,Games,Sport,Event
Silver,Blagoja Vidinić,1956 Melbourne,Football,Men 's team
Gold,Blagoja Vidinić,1960 Rome,Football,Men 's team
Silver,Blagoja Georgievski,1976 Montreal,Basketball,Men 's team
Bronze,Ace Rusevski,1976 Montreal,Boxing,Men 's lightweight
Bronze,Šaban Sejdi,1980 Moscow,Wrestling,Men 's freestyle lightweight
Gold,Šaban Trstena,1984 Los Angeles,Wrestling,Men 's freestyle flyweight
Silver,Redzep Redzepovski,1984 Los Angeles,Boxing,Men 's flyweight
Bronze,Aziz Salihu,1984 Los Angeles,Boxing,Men 's super heavyweight
Bronze,Milko Đurovski,1984 Los Angeles,Football,Men 's team
Bronze,Šaban Sejdi,1984 Los Angeles,Wrestling,Men 's freestyle welterweight
Silver,Stojna Vangelovska,1988 Seoul,Basketball,Women 's team
Silver,Šaban Trstena,1988 Seoul,Wrestling,Men 's freestyle 52 kg
