Season,Event type,Location,Format,Date,Rank
2002-03,Grand Prix,Utsunomiya,Rochester Draft,12-13 October 2002,4
2002-03,Grand Prix,Kyoto,Sealed and Booster Draft,29-30 March 2003,3
2002-03,Pro Tour,Yokohama,Booster Draft,9-11 May 2003,2
2003-04,Pro Tour,New Orleans,Extended,31 October-2 November 2003,4
2003-04,Grand Prix,Hong Kong,Booster Draft,7-8 March 2004,3
2003-04,Pro Tour,San Diego,Booster Draft,14-16 May 2004,8
2005,Pro Tour,"Columbus , Ohio",Extended,29-30 October 2004,6
2005,Grand Prix,Boston,Extended,5-6 February 2005,1
2005,Grand Prix,Matsuyama,Sealed and Booster Draft,14-15 May 2005,2
2005,Pro Tour,London,Booster Draft,8-10 July 2005,5
2005,Grand Prix,"Niigata , Niigata",Block Constructed,23-24 July 2005,4
2005,Grand Prix,Taipei,Block Constructed,6-7 August 2005,7
2005,Nationals,Yokohama,Standard and Booster Draft,2-4 September 2005,3
2005,Grand Prix,Kitakyushu,Extended,5-6 November 2005,4
2005,Grand Prix,Beijing,Extended,26-27 November 2005,2
2005,Worlds,Yokohama,National team,30 November-4 December 2005,1
2007,Pro Tour,Yokohama,Block Constructed,20-22 April 2007,7
2008,Nationals,Yokohama,Standard and Booster Draft,16-18 September 2008,1
2009,Grand Prix,Kitakyushu,Sealed and Booster Draft,31 October-1 November 2009,2
