#,Title,Characters,Year,Director,Series
1,Back Alley Oproar,"Sylvester , Elmer","March 27 , 1948",Friz Freleng,MM
2,Book Revue,Daffy,"January 5 , 1946",Bob Clampett,LT
3,A Corny Concerto,"Bugs , Daffy , Elmer , Porky","September 18 , 1943",Bob Clampett,MM
4,Have You Got Any Castles ?,,"June 25 , 1938",Frank Tashlin,MM
5,Hollywood Steps Out,,"May 24 , 1941",Tex Avery,MM
6,I Love to Singa,,"July 18 , 1936",Tex Avery,MM
7,Katnip Kollege,,"June 11 , 1938",Cal Howard and Cal Dalton,MM
8,The Hep Cat,,"October 3 , 1942",Bob Clampett,LT
9,Three Little Bops,,"January 5 , 1957",Friz Freleng,LT
10,One Froggy Evening,Michigan J. Frog,"December 31 , 1955",Chuck Jones,MM
11,Rhapsody Rabbit,Bugs,"November 9 , 1946",Friz Freleng,MM
12,Show Biz Bugs,"Bugs , Daffy","November 2 , 1957",Friz Freleng,LT
13,Stage Door Cartoon,"Bugs , Elmer","December 30 , 1944",Friz Freleng,MM
14,"What 's Opera , Doc ?","Bugs , Elmer","July 6 , 1957",Chuck Jones,MM
15,You Ought to Be in Pictures,"Daffy , Porky","May 18 , 1940",Friz Freleng,LT
