Medal,Name,Games,Sport,Event
Bronze,Ernst Fast,1900 Paris,Athletics,Men 's marathon
Gold,Frithiof Mårtensson,1908 London,Wrestling ( Greco-Roman ),Men 's middleweight
Gold,Swedish men 's team,1908 London,Gymnastics,Men 's team
Gold,Hjalmar Johansson,1908 London,Diving,Men 's 10 m platform
Gold,Ulrich Salchow,1908 London,Figure skating,Men 's singles
Gold,Oscar Swahn,1908 London,Shooting,Men 's single-shot running deer
Gold,Arvid Knöppel Ernst Rosell Alfred Swahn Oscar Swahn,1908 London,Shooting,Men 's team single-shot running deer
Gold,Eric Lemming,1908 London,Athletics,Men 's javelin throw
Gold,Eric Lemming,1908 London,Athletics,Men 's freestyle javelin
Silver,Mauritz Andersson,1908 London,Wrestling ( Greco-Roman ),Men 's middleweight
Silver,Karl Malmström,1908 London,Diving,Men 's 10 m platform
Silver,Richard Johansson,1908 London,Figure skating,Men 's singles
Silver,Carl Hellström Edmund Thormählen Erik Wallerius Eric Sandberg Harald Wallin,1908 London,Sailing,Men 's 8 metre class
Silver,Per-Olof Arvidsson Janne Gustafsson Axel Jansson Gustaf Adolf Jonsson Claës Rundberg Gustav-Adolf Sjöberg,1908 London,Shooting,Men 's team free rifle
Silver,Eric Carlberg Vilhelm Carlberg Johan Hübner von Holst Franz-Albert Schartau,1908 London,Shooting,Men 's team small-bore rifle
Bronze,Robert Andersson Erik Bergvall Pontus Hanson Harald Julin Torsten Kumfeldt Axel Runström Gunnar Wennerström,1908 London,Water polo,Men 's competition
Bronze,Märtha Adlerstråhle,1908 London,Tennis,Women 's indoor singles
Bronze,Wollmar Boström Gunnar Setterwall,1908 London,Tennis,Men 's indoor doubles
Bronze,Harald Julin,1908 London,Swimming,Men 's 100 m freestyle
Bronze,Pontus Hanson,1908 London,Swimming,Men 's 200 m breaststroke
