Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Nunu Abashidze,Soviet Union,Shot put,1981,,
Ahmed Abd El Raouf,Egypt,Hammer throw,2008,Norandrosterone,2 years
Inga Abitova,Russia,Long distance,2009,Biological passport anomalies,2 years
Folashade Abugan,Nigeria,Sprinting,2010,Testosterone prohormone,2 years
Ibrahim Mohamed Aden,Somalia,Middle distance,1999,Ephedrine,Public warning
Tosin Adeloye,Nigeria,Sprinting,2012 2015,Metenolone Exogenous steroids,2 years 8 years
Funke Adeoye,Nigeria,Hammer throw,2007,Ephedrine,Public warning
Alessandra Aguilar,Spain,Long distance,2011,,3 months
Amina Aït Hammou,Morocco,Middle distance,2008,3 whereabouts failures,1 year
Seltana Aït Hammou,Morocco,Middle distance,2008,3 whereabouts failures,1 year
Chioma Ajunwa,Nigeria,"Long jump , sprinting",1992,,4 years
Esther Akinsulie,Canada,Sprinting,2013,Hydrochlorothiazide,6 months
Ashwini Akkunji,India,Sprinting,2011,Anabolic steroids,2 years
Mary Akor Basley,United States,Marathon,2012,Clenbuterol,2 years
Mikko Ala-Leppilampi,Finland,Long distance,1972,Self admittance of blood transfusions ( not illegal at the time ),-
Mariem Alaoui Selsouli,Morocco,Middle distance,2009 2012,EPO Furosemide,2 years 8 years
Sultan Al-Dawoodi,Saudi Arabia,Discus throw,2009,Norandrosterone,2 years
Denis Alekseyev,Russia,Sprinting,2013,Dehydrochloromethyltestosterone,2 years
Barakat Al-Harthi,Oman,Sprinting,2011,Methylprednisolone,6 months
Ghfran Almouhamad,Syria,Hurdling,2012,Methylhexaneamine,6 months
