Year,Song,Film,Music Director,Lyricist,Singer ( s )
1953,Ye Zindagi Usi ki Hai,Anarkali ( film ),C. Ramachandra,Rajinder Krishan,Lata Mangeshkar
1954,Jayen To Jayen Kahan,Taxi Driver,S.D . Burman,Sahir Ludhianvi,Talat Mahmood
1955,Mera Joota Hai Japani,Shri 420,Shankar Jaikishan,Shailendra,Mukesh
1956,Ae Dil Hai Mushkil Jeena Yaha,C.I.D,O. P. Nayyar,Majrooh Sultanpuri,"Mohammed Rafi , Geeta Dutt"
1957,Zara Saamne Toh Aao Chhaliye,Janam Janam Ke Phere,S. N. Tripathi,Bharat Vyas,"Mohammed Rafi , Lata Mangeshkar"
1958,Hai Apna Dil Toh Awara,Solva Saal,S. D. Burman,Majrooh Sultanpuri,Hemant Kumar
1959,Haal Kaisa Hai Janaab Ka,Chalti Ka Naam Gaadi,S. D. Burman,Majrooh Sultanpuri,"Kishore Kumar , Asha Bhosle"
1960,Zindagi Bhar Nai Bhoolegi Wo Barsaat Ki Raat,Barsaat Ki Raat,Roshan,Sahir Ludhianvi,Mohammed Rafi
1961,Teri Pyaari Pyaari Surat Ko,Sasural,Shankar Jaikishan,Hasrat Jaipuri,Mohammed Rafi
1962,Ehsaan Tera Hoga Mujh Par,Junglee,Shankar Jaikishan,Hasrat Jaipuri,Mohammed Rafi
1963,Jo Wada Kiya Woh Nibhana,Taj Mahal,Roshan,Sahir Ludhianvi,"Mohammed Rafi , Lata Mangeshkar"
1964,Mere Man ki Ganga aur tere man ki Jamuna ka,Sangam,Shankar Jaikishan,Shailendra,"Mukesh , Vyjayanthimala"
1965,Jis dil mein basa tha pyaar tera,Saheli,Kalyanji Anandji,Indeevar,Mukesh
1966,Baharon phool barsao mera mehboob aaya hai,Suraj,Shankar Jaikishan,Hasrat Jaipuri,Mohammed Rafi
1967,Saawan ka mahina pawan kare sor,Milan,Laxmikant-Pyarelal,Anand Bakshi,"Mukesh , Lata Mangeshkar"
1968,Dil wil pyar vyar main kya jaanu re,Shagird,Laxmikant-Pyarelal,Majrooh Sultanpuri,Lata Mangeshkar
1969,Kaise rahoon chup ki meine pee hi kya hai,Inteqam,Laxmikant-Pyarelal,Rajendra Krishna,Lata Mangeshkar
1970,Bindiya chamkegi choodi khankegi,Do Raaste,Laxmikant-Pyarelal,Anand Bakshi,Lata Mangeshkar
1971,Zindagi ek safar hai suhana,Andaz,Shankar Jaikishan,Hasrat Jaipuri,"Kishore Kumar , Asha Bhosle"
1972,Dum Maro Dum,Hare Raama Hare Krishna,R. D. Burman,Anand Bakshi,"Asha Bhosle , Usha Iyer"
