Crater,Diameter ( km ),Approval Year,Eponym,Ref
Gainsborough,95,1985,"Thomas Gainsborough , English painter",WGPSN
Gaudí,81,2012,"Antoni Gaudí i Cornet , Spanish Catalan architect",WGPSN
Gauguin,70,1979,"Paul Gauguin , French artist",WGPSN
Geddes,84,2010,"Wilhelmina Geddes , Irish stained glass artist",WGPSN
Ghiberti,110,1976,"Lorenzo Ghiberti , Italian sculptor",WGPSN
Giambologna,69,2013,"Giambologna , Flemish sculptor",WGPSN
Gibran,106,2009,"Kahlil Gibran , Lebanese American poet and artist",WGPSN
Giotto,144,1976,"Giotto di Bondone , Italian painter",WGPSN
Glinka,89,2008,"Mikhail Glinka , Russian composer",WGPSN
Gluck,100,1979,"Christoph Willibald Gluck , Austrian composer",WGPSN
Goethe,317.17,1979,"Johann Wolfgang von Goethe , German writer",WGPSN
Gogol,79,1985,"Nikolai Gogol , Russian playwright",WGPSN
Gordimer,58,2019,"Nadine Gordimer , South African writer",WGPSN
Goya,138,1976,"Francisco Goya , Spanish artist",WGPSN
Grainger,113,2012,"Percy Grainger , Australian composer",WGPSN
Grieg,59,1985,"Edvard Grieg , Norwegian composer",WGPSN
Grotell,48.25,2012,"Maija Grotell , Finnish and American ceramist",WGPSN
Guido d'Arezzo,58,1976,"Guido of Arezzo , Italian music theorist",WGPSN
