Scientific name,Common name,Classified,Average size,Conservation status
Allocebus trichotis,Hairy-eared dwarf lemur,"1875 , Günther",65-90 g ( 2.3-3.2 oz ),Vulnerable
Cheirogaleus andysabini,Montagne d'Ambre dwarf lemur,"2015 , Lei et al",282 ± 61 g ( 9.9 ± 2.2 oz ),Not Evaluated
Cheirogaleus crossleyi,Furry-eared dwarf lemur,"1870 , A. Grandidier",250-500 g ( 8.8-17.6 oz ),Data Deficient
Cheirogaleus grovesi,Groves ' dwarf lemur,"2017 , McLain et al",410 g ( 14 oz ),Not Evaluated
Cheirogaleus lavasoensis,Lavasoa dwarf lemur,"2013 , Thiele et al",300 g ( 11 oz ),Not Evaluated
Cheirogaleus major,Greater dwarf lemur,"1812 , É. Geoffroy",350-400 g ( 12-14 oz ),Data Deficient
Cheirogaleus medius,Fat-tailed dwarf lemur,"1812 , É. Geoffroy",120-270 g ( 4.2-9.5 oz ),Least Concern
Cheirogaleus minusculus,Lesser iron-gray dwarf lemur,"2000 , Groves",unknown,Data Deficient
Cheirogaleus shethi,Ankarana dwarf lemur,"2016 , Frasier et al",115 ± 11 g ( 4.06 ± 0.39 oz ),Not Evaluated
Cheirogaleus sibreei,Sibree 's dwarf lemur,"1896 , Forsyth Major",unknown,Critically Endangered
Microcebus arnholdi,Arnhold 's mouse lemur,"2008 , E. Lewis , Jr. et al",49.7 g ( 1.75 oz ),Endangered
Microcebus berthae,Madame Berthe 's mouse lemur,"2000 , Rasoloarison et al",30 g ( 1.1 oz ),Endangered
Microcebus bongolavensis,Bongolava mouse lemur,"2007 , Olivieri et al",54 g ( 1.9 oz ),Endangered
Microcebus boraha,Boraha mouse lemur,"2016 , Hotaling et al",,
Microcebus danfossi,Danfoss ' mouse lemur,"2007 , Olivieri et al",63 g ( 2.2 oz ),Endangered
Microcebus ganzhorni,Ganzhorn 's mouse lemur,"2016 , Hotaling et al",,
Microcebus gerpi,Gerp 's mouse lemur,"2012 , Radespiel et al",68 g ( 2.4 oz ),Critically Endangered
Microcebus griseorufus,Reddish-gray mouse lemur,"1910 , Kollman",46-79 g ( 1.6-2.8 oz ),Least Concern
Microcebus jollyae,Jolly 's mouse lemur,"2006 , Louis et al",60 g ( 2.1 oz ),Endangered
Microcebus lehilahytsara,Goodman 's mouse lemur,"2005 , Roos and Kappeler",45-48 g ( 1.6-1.7 oz ),Vulnerable
