S. No,Constituency,Elected Member,Party affiliation
1,Purola ( SC ),Raj Kumar,INC
2,Yamunotri,Kedar Singh Rawat,BJP
3,Gangotri,Gopal Singh Rawat,BJP
4,Badrinath,Mahendra Bhatt,BJP
5,Tharali ( SC ),Munni Devi Shah,BJP
6,Karnaprayag,Surendra Singh Negi,BJP
7,Kedarnath,Manoj Rawat,INC
8,Rudraprayag,Bharat Singh Rawat,BJP
9,Ghansali ( SC ),Shakti Lal Shah,BJP
10,Devprayag,Vinod Kandari,BJP
11,Narendranagar,Subodh Uniyal ( Cabinet Minister ),BJP
12,Pratapnagar,Vijay Singh Panwar,BJP
13,Tehri,Dhan Singh Negi,BJP
14,Dhanaulti,Pritam Singh Panwar,Independent
15,Chakrata ( ST ),Pritam Singh,INC
16,Vikasnagar,Munna Singh Chauhan,BJP
17,Sahaspur,Sahdev Singh Pundir,BJP
18,Dharampur,Vinod Chamoli,BJP
19,Raipur,Umesh Sharma 'Kau ',BJP
20,Rajpur Road ( SC ),Khajan Das,BJP
