Club,Location,Stadium,Capacity,Manager,Captain
FC Honka,Espoo,Tapiolan Urheilupuisto,"6,000",Mika Lehkosuo,Tomi Maanoja
FC Inter,Turku,Veritas Stadion,"10,000",Job Dragtsma,Henri Lehtonen
FF Jaro,Jakobstad,Jakobstads Centralplan,"5,000",/ Alexei Eremenko Sr,Heikki Aho
Haka,Valkeakoski,Tehtaan kenttä,"3,516",Sami Ristilä,Regillio Nooitmeer
HJK,Helsinki,Sonera Stadium,"10,770",Antti Muurinen,Ville Wallén
JJK,Jyväskylä,Harjun stadion,"3,000",Kari Martonen,Mikko Hyyrynen
KuPS,Kuopio,Kuopion keskuskenttä,"5,000",Esa Pekonen,Pietari Holopainen
IFK Mariehamn,Mariehamn,Wiklöf Holding Arena,"4,000",Pekka Lyyski,Allan Olesen
MYPA,Kouvola,Saviniemi,"4,167",Toni Korkeakunnas,Tuomas Aho
RoPS,Rovaniemi,Rovaniemen keskuskenttä,"4,000",Matti Hiukka,Tuomo Könönen
TPS,Turku,Veritas Stadion,"10,000",Marko Rajamäki,Jarno Heinikangas
VPS,Vaasa,Hietalahti Stadium,"4,600",Petri Vuorinen,Tero Koskela
