Line,Stations,Termini
City Terminal Zone,10,"Penn Station , Hunterspoint Avenue ( diesel ) / Long Island City ( electric ) , Atlantic Terminal , Grand Central Terminal ( proposed ) Jamaica"
Port Washington Branch,13,Woodside Port Washington
Hempstead Branch,9,Hollis Hempstead
Oyster Bay Branch,10,East Williston Oyster Bay
Port Jefferson Branch,16,New Hyde Park Huntington ( electric ) / Port Jefferson ( diesel )
Ronkonkoma Branch,14,Bethpage Ronkonkoma ( electric ) / Greenport ( diesel )
Belmont Park Branch,1,Belmont Park ( seasonal service only )
Far Rockaway Branch,11,Locust Manor Far Rockaway
West Hempstead Branch,6,St. Albans West Hempstead
Long Beach Branch,6,Lynbrook Long Beach
Babylon Branch,13,Rockville Centre Babylon
Montauk Branch,16,Bay Shore Montauk
