Rank,Country,Team,Points
1,England,Joyce Smith Angela Lovell Rita Ridley Sheila Carey,29
2,New Zealand,Valerie Robinson Bev Shingles Irene Miller Heather Thomson,42
3,United States,Doris Brown Janet Bristol Beth Bonner Trina Hosmer,51
4,Netherlands,Berny Lenferink Annie van den Kerkhof Anneke Stalman Joke van de Stelt,71
5,Wales,Thelwyn Bateman Jean Lochhead Bronwen Cardy Gloria Dourass,90
6,Italy,Zina Boniolo Waltraud Egger Margherita Gargano Giuseppina Torello,98
7,Ireland,Ann O'Brien Deirdre Foreman Mary Lynch Kate Moroney,111
8,Scotland,Christine Haskett Margaret MacSherry Sandra Sutherland Ann Barrass,124
9,Spain,Belen Azpeitia Pilar San Martin Begona Zuñiga Maria Fuentes,156
10,Belgium,Christina van Loock Liève van den Broeck Josee van Santberghe Monique Dockx,190
