Name,Nationality,Division,Style
Chantelle Cameron,UK,Light welterweight,Boxing
Bonnie Canino,USA,,Boxing
Yvonne Caples,India,Light Flyweight,Boxing
Nurcan Çarkçı,Turkey,Light Middleweight,Boxing
Graciela Casillas,USA,Bantamweight,Boxing
Jackie Chavez,USA,Super Bantamweight,Boxing
Choi Hyunmi,South Korea,Super Featherweight,Boxing
Mavzuna Chorieva,Tajikistan,Lightweight,Boxing
Anita Christensen,Denmark,,Boxing
Jaime Clampitt,Canada,Lightweight,Boxing
Pat Coombs,UK,,Boxing
Jane Couch,UK,Welterweight,Boxing
Clare Cribbes,UK,Lightweight,Boxing
Teuta Cuni,Sweden,,Boxing
Juli Crockett,USA,,Boxing
