Name,Number,Award,Category,Result
Fernando Prass,1,2011 Prêmio Craque do Brasileirão,Best Goalkeeper,Nominated
Fagner,23,2011 Prêmio Craque do Brasileirão,best Right ( wing ) back,Won
Dedé,26,2011 Campeonato Carioca,best Right Centre back,Won
,,2011 Prêmio Craque do Brasileirão,fans Favorite Player,Won
,,2011 Prêmio Craque do Brasileirão,best Right Centre back,Won
Anderson Martins,25,2011 Campeonato Carioca,best Left Centre back,Won
Rômulo,37,2011 Campeonato Carioca,best Defensive midfielder,Nominated
,,2011 Prêmio Craque do Brasileirão,best Defensive midfielder,Nominated
Felipe,6,2011 Campeonato Carioca,best Center and Attacking midfielder,Won
Diego Souza,10,2011 Prêmio Craque do Brasileirão,best Side and Attacking midfielder,Won
Bernardo,31,2011 Campeonato Carioca 2011 Campeonato Carioca,best Side and Attacking midfielder Revelation of the year,Nominated
Éder Luís,7,2011 Campeonato Carioca,best Second striker and Winger,Nominated
Ricardo Gomes,,2011 Campeonato Carioca,best Head coach,Nominated
Ricardo Gomes and Cristóvão Borges,,2011 Prêmio Craque do Brasileirão,best Head coach,Won
