#,Poet laureate,Term began,Term ended,Appointed by
1,Samuel Minturn Peck ( died 1938 ),12 June 1930,3 May 1938 ( death ),Gov . Bibb Graves
2,Mary B . Ward,21 November 1954,1958,Gov . Gordon Persons
3,Elbert Calvin Henderson ( 1903-1974 ),21 December 1959,15 September 1974 ( death ),Gov . John Patterson
4,William Young Elliott ( 1902-1997 ),August 1975,1982,Gov . George Wallace
5,Carl Patrick Morton ( 1920-1994 ),1983,1987,Lt. Gov . William Baxley
6,"Morton Dennison Prouty , Jr. ( died 1992 )",1988,1991,Gov . H. Guy Hunt
7,Ralph Hammond,1992,1995,Gov . H. Guy Hunt
8,Helen Friedman Blackshear ( 1911-2003 ),1 January 1995,1999,"Gov . Jim Folsom , Jr"
9,Helen Norris,1999,2003,Gov . Don Siegelman
10,Sue Walker,August 2003,December 2012,Gov . Bob Riley
11,Andrew Glaze,2013,7 February 2016 ( death ),Gov . Robert J. Bentley
