Club,Head Coach,City,Stadium,Capacity,2013 season
Qingdao Jonoon,Tomaž Kavčič,Qingdao,Qingdao Tiantai Stadium,"20,525","CSL , 15th"
Wuhan Zall,Zheng Bin ( caretaker ),Wuhan,Xinhua Road Sports Center,"32,137","CSL , 16th"
Guangdong Sunray Cave,Mai Chao,Guangzhou,Huangpu Sports Center,"12,000",3rd
Chongqing Lifan,Wang Baoshan,Chongqing,Chongqing Olympic Sports Center,"58,680",4th
Shenzhen NEO Capital,Li Yi ( caretaker ),Shenzhen,Bao'an Stadium,"40,000",5th
Shenyang Zhongze,Li Zheng ( caretaker ),Shenyang,Shenyang Olympic Sports Center Stadium,"60,000",6th
Beijing Baxy,Goran Tomić,Beijing,Chaoyang Sports Centre,"8,000",7th
Shijiazhuang Yongchang,Yasen Petrov,Shijiazhuang,Yutong International Sports Center,"38,000",8th
Beijing BIT,Yuan Wei,Beijing,BIT Eastern Athletic Field,"5,000",9th
Tianjin Songjiang,Manuel Cajuda,Tianjin,Tianjin Tuanbo Football Stadium,"30,320",10th
Yanbian Quanyang Spring,Gao Zhongxun,Yanji,Yanji Nationwide Fitness Centre Stadium,"30,000",11th
Hunan Billows,Huang Cheng,Changsha Yiyang,CSU New Stadium Yiyang Olympic Sports Park Stadium,"18,000 30,000",12th
Xinjiang Dabancheng Nahuan,Li Jun,Ürümqi,Xinjiang Sports Centre,"50,000",13th
Chengdu Tiancheng,Lee Jang-Soo,Chengdu Dujiangyan,Shuangliu Sports Centre Dujiangyan Sports Center,"26,000 12,700",14th
Qingdao Hainiu,Su Maozhen,Qingdao,Qingdao Sports Center Guoxin Stadium,"45,000","CL2 , 1st"
Hebei Zhongji,Alejandro Larrea,Shijiazhuang,Yutong International Sports Center,"38,000","CL2 , 2nd"
