Team,City,Stadium,Manager
Brampton City United,"Brampton , Ontario ( Bramalea )",Victoria Park Stadium,Armando Costa
Brantford Galaxy,"Brantford , Ontario",Steve Brown Sports Complex,Lazo Džepina
Capital City F.C,"Ottawa , Ontario",Terry Fox Stadium,Shaun Harris
London City,"London , Ontario ( Westmount )",Cove Road Stadium,Luka Shaqiri
Mississauga Eagles FC,"Mississauga , Ontario",Hershey Centre,Josef Komlodi
Montreal Impact Academy,"Montreal , Quebec",Saputo Stadium,Philippe Eullaffroy
North York Astros,"Toronto , Ontario ( North York )",Esther Shiner Stadium,Gerardo Lezcano
SC Toronto,"Toronto , Ontario ( Liberty Village )",Lamport Stadium,Carmine Isacco
Serbian White Eagles,"Toronto , Ontario ( Etobicoke )",Centennial Park Stadium,Nikola Budalic
St. Catharines Wolves,"St. Catharines , Ontario ( Vansickle )",Club Roma Stadium,Carlo Arghittu
TFC Academy,"Toronto , Ontario ( Liberty Village )",Lamport Stadium,Danny Dichio
Toronto Croatia,"Toronto , Ontario ( Etobicoke )",Centennial Park Stadium,Velimir Crljen
York Region Shooters,"Vaughan , Ontario ( Maple )",St. Joan of Arc Turf Field,Filipe Bento
Windsor Stars,"Windsor , Ontario",Windsor Stadium,Steve Vagnini
