Name,Suburb,LGA,Opened,Website,Notes
Good Counsel College,Innisfail,Cassowary Coast,1975,Website,Year 7 - 12 Co-Educational Day Schooling
Good Counsel Primary School,Innisfail,Cassowary Coast,1975,Website,Prep - Year 6
Holy Cross Primary School,Trinity Park,Cairns,1987,Website,Prep - Year 6 OSHCare
Holy Spirit College Cooktown,Cooktown,Cook,2015,Website,"The focus of this college is the provision of education for disengaged young people which guides their spiritual , social , emotional , academic , and physical development through an engaging and individualised curriculum"
Holy Spirit College Manoora,Manoora,Cairns,2015,Website,"The focus of this college is the provision of education for disengaged young people which guides their spiritual , social , emotional , academic , and physical development through an engaging and individualised curriculum"
Mackillop Catholic College,Mount Peter,Cairns,2016,Website,Prep - Year 12 ( Prep to Year 4 in 2017 ) Co-Educational Day Schooling
Mother of Good Counsel School,Cairns North,Cairns,1936,Website,Prep - Year 6 OSHCare
Mount St Bernard College,Herberton,Tablelands,1921,Website,Year 7 - 12 Co-Educational Day Schooling and Boarding
Our Lady Help of Christians School,Earlville,Cairns,1964,Website,Prep - Year 6 OSHCare
Our Lady of the Sacred Heart School,Thursday Island and Hammond Island,Torres,1886,Website,"Thursday Island Campus , Prep - Year 6 Hammond Island Campus , Prep - Year 3"
St Andrews Catholic College,Redlynch,Cairns,2001,Website,Prep - Year 12 Co-Educational Day Schooling OSHCare
St Anthony 's Primary School,Dimbulah,Mareeba,1966,Website,Prep - Year 6
St Augustine 's College,Cairns City,Cairns,1930,Website,Year 7 - 12 Boys Only Day Schooling Boarding
St Augustine 's School,Mossman,Douglas,1934,Website,Prep - Year 6 OSHCare
St Clare 's School,Tully,Cassowary Coast,1928,Website,Prep - Year 6
St Francis Xavier 's School,Manunda,Cairns,1967,Website,Prep - Year 6 OSHCare
St Gerard Majella School,Woree,Cairns,1988,Website,Prep - Year 6 OSHCare
St John 's Catholic School,Silkwood,Cassowary Coast,1948,Website,Prep - Year 6
St Joseph 's School,Atherton,Tablelands,1923,Website,Prep - Year 6
St Joseph 's School,Parramatta Park,Cairns,1927,Website,Prep - Year 6 OSHCare
