Track Name,Location,Surface,Length,Shape,Classes
Airborne Speedway,New York Plattsburgh 44°38′02″N 73°29′54″W / 44.633864°N 73.498389°W / 44.633864 ; -73.498389,Asphalt,0.500 miles ( 0.805 km ),Oval,"Modifieds , Sportsman , Renegades , Mini-Mods , Bombers"
Baer Field Speedway,Indiana Fort Wayne 40°58′09″N 85°11′45″W / 40.9692295°N 85.1957916°W / 40.9692295 ; -85.1957916,Asphalt,0.500 miles ( 0.805 km ) & 0.375 miles ( 0.604 km ),Oval,"Half Mile Modifieds , Late Models , Street Stocks , Mini Stocks , Front Wheel Drives"
Bristol Motor Speedway,Tennessee Bristol 36°30′57″N 82°15′24″W / 36.5157633°N 82.2566017°W / 36.5157633 ; -82.2566017,Concrete,0.533 miles ( 0.858 km ),,"Monster Energy NASCAR Cup Series , NASCAR Xfinity Series , NASCAR Gander Outdoors Truck Series , USARacing Pro Cup Series , AHDRA Drag Racing , NHRA Drag Racing"
Concord Speedway,North Carolina Midland 35°18′33″N 80°31′16″W / 35.309198°N 80.5210083°W / 35.309198 ; -80.5210083,Asphalt,0.500 miles ( 0.805 km ) & 0.25 miles ( 0.40 km ),Oval,"Pro Late Model 's , Late Model Stock Cars , Prue Stock 's , Thunderstox 's , Fast and Furious Fours , USAC Ford Focus Midgets , INEX Legend 's Cars , INEX Bandolero Cars , Arena Car 's"
Five Flags Speedway,Florida Pensacola 30°30′14″N 87°18′29″W / 30.5037607°N 87.3081224°W / 30.5037607 ; -87.3081224,Asphalt,0.500 miles ( 0.805 km ),Oval,"Super Late Models , Pro Late Models , Super Stocks , Modifieds , Sportsman , Bombers , NASCAR K & N Pro Series East Gladiators"
Greenville-Pickens Speedway,South Carolina Greenville 34°49′59″N 82°30′00″W / 34.8331158°N 82.5001185°W / 34.8331158 ; -82.5001185,Asphalt,0.500 miles ( 0.805 km ),Oval,
Gresham Motorsports Park Peach State Speedway,Georgia Jefferson 34°10′00″N 83°33′08″W / 34.166687°N 83.552352°W / 34.166687 ; -83.552352,Asphalt,0.500 miles ( 0.805 km ),Oval,
Hawkeye Downs Speedway,Iowa Cedar Rapids 41°56′03″N 91°40′52″W / 41.934290°N 91.681022°W / 41.934290 ; -91.681022,Asphalt,0.500 miles ( 0.805 km ) & 0.25 miles ( 0.40 km ),Oval,"Late Models , Sportsmen , Hobby Stocks , Hornets , Legends"
Illiana Motor Speedway,Indiana Schererville 41°28′38″N 87°25′22″W / 41.477121°N 87.422828°W / 41.477121 ; -87.422828,Asphalt,0.500 miles ( 0.805 km ) & 0.25 miles ( 0.40 km ),Oval,"Super Late Models , Limited ( Crate ) Late Models , Turbo Stox , 4 Cyl . Pure Stocks , INEX Legends Cars , & Bandolero 's"
Jennerstown Speedway,Pennsylvania Jennerstown 40°09′32″N 79°04′20″W / 40.1588°N 79.0721°W / 40.1588 ; -79.0721,Asphalt,0.522 miles ( 0.840 km ),Oval,
Madison International Speedway,Wisconsin Oregon 42°54′22″N 89°19′36″W / 42.906173°N 89.326667°W / 42.906173 ; -89.326667,Asphalt,0.500 miles ( 0.805 km ),Oval,"NASCAR Late Models , Sportsmen , Bandits"
Marshfield Motor Speedway,Wisconsin Marshfield 44°39′16″N 90°15′17″W / 44.654391°N 90.254768°W / 44.654391 ; -90.254768,Asphalt,0.500 miles ( 0.805 km ),Oval,"Super Late Model , Super Stock , Pure Stock , X-Treme 4s , Bandits 4 cyl"
Martinsville Speedway,Virginia Ridgeway 36°38′03″N 79°51′06″W / 36.634128°N 79.851565°W / 36.634128 ; -79.851565,Asphalt,0.526 miles ( 0.847 km ),,"Monster Energy NASCAR Cup Series , NASCAR Gander Outdoors Truck Series , Late Model , Modified"
Mobile International Speedway,Alabama Irvington 30°30′50″N 88°13′12″W / 30.513940°N 88.219898°W / 30.513940 ; -88.219898,Asphalt,0.500 miles ( 0.805 km ),Oval,"Super Late Models , Pro , Late Models , Modifieds , Super Stocks , Sportsman , Bombers"
Montgomery Motor Speedway,Alabama Montgomery 32°21′24″N 86°26′45″W / 32.356797°N 86.445794°W / 32.356797 ; -86.445794,Asphalt,0.500 miles ( 0.805 km ),Oval,"( Oval ) Street Stocks , Super Late Models , Pro Late Models Super Stocks , Bombers , Front Wheel Drive"
Myrtle Beach Speedway,South Carolina Myrtle Beach 33°44′47″N 78°57′07″W / 33.746493°N 78.951987°W / 33.746493 ; -78.951987,Asphalt,0.538 miles ( 0.866 km ),,"NASCAR Whelen All-American Late Model Series , Super Trucks , Limited Late Models , Street Stock , Mini Stock , Bombers"
New Smyrna Speedway,Florida Samsula 29°00′49″N 81°04′11″W / 29.013669°N 81.069822°W / 29.013669 ; -81.069822,Asphalt,0.500 miles ( 0.805 km ),Oval,"Sportsman , Super Stocks , Mini Stocks , Strictly Stocks , Late Models , Modifieds , FASCAR Pro Trucks , Tour-Type Modifieds , SK-Type Modifieds , NASCAR K & N Pro Series East"
Salem Speedway,Indiana Salem 38°36′00″N 86°08′25″W / 38.599996°N 86.140291°W / 38.599996 ; -86.140291,Concrete,0.555 miles ( 0.893 km ),,"ARCA & USAR Late Models , ARCA Trucks , USAC Sprints , & Midgets , Auto Value Super Sprints ( AVSS ) , Hoosier Outlaw Sprint Series ( HOSS ) , Super Stocks , Street Stocks , Dash Cars"
Sandusky Speedway,Ohio Perkins Township 41°25′37″N 82°42′33″W / 41.426977°N 82.709259°W / 41.426977 ; -82.709259,Asphalt,0.500 miles ( 0.805 km ),Oval,"MSA & ISMA supermodifieds , ARCA trucks , spectator stocks , pure stocks , sportsmen , modifieds , sprints"
South Georgia Motorsports Park,Georgia Valdosta 31°03′50″N 83°23′52″W / 31.063998°N 83.397826°W / 31.063998 ; -83.397826,Asphalt,0.500 miles ( 0.805 km ),Oval,formerly Valdosta 75 Speedway ( dirt )
