Year,Song,Artist,Position,Points
1960,Voi Voi,Nora Brockstedt,4th,11
1966,Intet er nytt under solen,Åse Kleveland,3rd,15
1985,La det swinge,Bobbysocks,1st,123
1988,For vår jord,Karoline Krüger,5th,88
1993,Alle mine tankar,Silje Vige,5th,120
1995,Nocturne,Secret Garden,1st,148
1996,I evighet,Elisabeth Andreassen,2nd,114
2003,I 'm Not Afraid To Move On,Jostein Hasselgård,4th,123
2008,Hold On Be Strong,Maria Haukaas Storeng,5th,182
2009,Fairytale,Alexander Rybak,1st,387
2013,I Feed You My Love,Margaret Berger,4th,191
