Name,Class,Position,Team
Joe DeSantis,1979,Head Coach,Quinnipiac Bobcats
Greg Francis,1997,Head Coach,Alberta Golden Bears
Pete Gillen,1968,Head Coach,Xavier Musketeers
James Hanrahan,1952,Head Coach,Fairfield Stags
Nick Macarchuk,1963,Head Coach,Fordham Rams
Luke Murray,2007,Assistant Coach,Xavier Musketeers
Tim O'Toole,1987,Assistant Coach,California Golden Bears
Brendan Suhr,1979,Associate Head Coach,LSU Tiger
Keith Urgo,2002,Associate Head Coach,Penn State Nittany Lions
A. J. Wynder,1987,Head Coach,Nassau Community College
