Round,Pick,Player,Position,School
1,6,James Lofton,Wide receiver,Stanford
1,26,John Anderson,Linebacker,Michigan
2,34,Michael Hunt,Linebacker,Minnesota
3,62,Charlie Salmon,Cornerback,Illinois State
5,116,Mike Douglass,Linebacker,San Diego State
5,128,Willie Wilder,Running back,Florida
6,144,Leotis Harris,Guard,Arkansas
7,172,George Plasketes,Linebacker,Ole Miss
8,200,Dennis Sproul,Quarterback,Arizona State
9,228,Keith Myers,Quarterback,Utah State
10,256,Larry Key,Running back,Florida State
10,259,Mark Totten,Center,Florida
11,284,Terry Jones,Defensive tackle,Alabama
12,312,Eason Ramson,Tight end,Washington State
