Year,Film,Role,Director
1999,F.I.R,Mohammed Sarkar IPS,Shaji Kailas
1999,Crime File,Idamatton Palackal Easo Panicker IPS,K. Madhu
1999,Pathram,Nandagopal,Joshiy
1999,Vazhunnor,Kuttappayi,Joshiy
1999,Prem Poojari,Guest Appearance in Song,Hariharan
1999,Saaphalyam,Balu,G. S. Vijayan
1998,Kallu Kondoru Pennu,Dr. Suresh,Shyamaprasad
1998,Pranayavarnangal,Vinayachandran IAS,Sibi Malayil
1998,Rakthasakshikal Sindabad,Urmees Tharakan,Venu Nagavally
1998,Summer in Bethlehem,Dennis,Sibi Malayil
1998,Thalolam,Haridas,Jayaraj
1998,Thirakalkkappuram,Chengan,Anil Adithyan
1997,Kaliyattam,Kannan Perumalayan,Jayaraj
1997,Anubhoothi,Sivankutty,I. V. Sasi
1997,Bhaaratheeyam,Shyam Mohan,Suresh Krishnan
1997,Bhoopathi,Hariprasad,Joshiy
1997,Gangothri,Adv . Sharath Chandran,P. Anil
1997,Guru,Vijayanathan,Rajiv Anchal
1997,Janathipathyam,R.D.Nayanar IPS,K. Madhu
1997,Kulam,Bhranthan Channan,Lenin Rajendran
