Team,Location,Venue,Capacity
Admira Wacker Mödling,Maria Enzersdorf,BSFZ-Arena,"10,800"
Austria Wien,Vienna,Generali Arena,"17,500"
LASK Linz,Linz,Waldstadion Pasching,"7,870"
Rapid Wien,Vienna,Allianz Stadion,"28,000"
Red Bull Salzburg,Wals-Siezenheim,Red Bull Arena,"30,188"
Rheindorf Altach,Altach,Stadion Schnabelholz,"8,500"
St. Pölten,Sankt Pölten,NV Arena,"8,000"
Sturm Graz,Graz,Merkur-Arena,"15,323"
SV Mattersburg,Mattersburg,Pappelstadion,"17,100"
TSV Hartberg,Hartberg,Profertil Arena Hartberg,"4,500"
Wolfsberger AC,Wolfsberg,Lavanttal-Arena,"7,300"
WSG Wattens,Wattens,Alpenstadion,"5,500"
