Song Title,Album ( s ) / Single ( s ),First Released
A Feast For Me,Pipes & Flowers,2002
A Little Over Zero,Asile 's World / Dancing,2000
A Prayer,Lotus,2003
Anche Se Non Trovi Le Parole,Heart,2009
And All I Need,Heart,2009
Asile 's World,Asile 's World,2000
Beautiful Night,Lotus,2003
Bitter Words,Pearl Days,2004
Broken,Lotus / Dancing,2003
Chameleon,Asile 's World,2000
City Lights,Pearl Days / Dancing,2004
Coincidences,Heart,2009
Come & Sit,Asile 's World,2000
Come Speak To Me,Asile 's World,2001
Creature,Asile 's World,2000
Cure Me,Pipes & Flowers,1997
Dancing,Then Comes the Sun / Dancing,2002
Dot in the Universe,Heart,2009
Eppure sentire ( Un senso di te ),Soundtrack '96-'06,2006
Electricity,Lotus,2003
