Team,City,Titles ( most recent ),Runners-up ( most recent )
Figueirense,Florianópolis,18 ( 2018 ),8 ( 2012 )
Avaí,Florianópolis,17 ( 2019 ),9 ( 1999 )
Joinville,Joinville,12 ( 2001 ),7 ( 2015 )
Criciúma,Criciúma,10 ( 2013 ),10 ( 2011 )
Chapecoense,Chapecó,6 ( 2017 ),7 ( 2019 )
América,Joinville,5 ( 1971 ),4 ( 1969 )
Metropol,Criciúma,5 ( 1969 ),1 ( 1965 )
Caxias,Joinville,3 ( 1955 ),7 ( 2003 )
Carlos Renaux,Brusque,2 ( 1953 ),3 ( 1958 )
Olímpico,Blumenau,2 ( 1964 ),1 ( 1970 )
Hercílio Luz,Tubarão,2 ( 1958 ),0
Marcílio Dias,Itajaí,1 ( 1963 ),8 ( 2000 )
Internacional,Lages,1 ( 1965 ),2 ( 1974 )
Ferroviário,Tubarão,1 ( 1970 ),1 ( 1954 )
Paula Ramos,Florianópolis,1 ( 1959 ),1 ( 1948 )
Externato,Florianópolis,1 ( 1925 ),0
Lauro Müller,Itajaí,1 ( 1931 ),0
Catarinense,Florianópolis,1 ( 1934 ),0
CIP,Itajaí,1 ( 1938 ),0
Ypiranga,São Francisco do Sul,1 ( 1940 ),0
