Dance,Highest scored dancer ( s ),Highest score,Lowest scored dancer ( s ),Lowest score
Cha-cha-cha,Jennie Garth Hélio Castroneves,30,Floyd Mayweather Jr,18
Foxtrot,Hélio Castroneves,30,Josie Maran,16
Quickstep,Hélio Castroneves,30,Wayne Newton,15
Mambo,Mel B,30,Mark Cuban,18
Jive,Mel B Sabrina Bryan Cameron Mathison,27,Mark Cuban,20
Tango,Jennie Garth,28,Wayne Newton,18
Viennese waltz,Mel B,30,Mark Cuban,22
Paso doble,Sabrina Bryan Mel B,30,Marie Osmond Floyd Mayweather Jr,23
Rumba,Mel B,30,Hélio Castroneves,23
Samba,Mel B,29,Mark Cuban Marie Osmond,21
Freestyle,Hélio Castroneves,29,Marie Osmond,22
