Team,Previous post-season series win,Intervening post-season series losses,Next post-season series win,Post-season series win drought
Winnipeg Jets / Phoenix Coyotes,1986-87,"12 : 1987-88 , 1989-90 , 1991-92 , 1992-93 , 1995-96 , 1996-97 , 1997-98 , 1998-99 , 1999-2000 , 2001-02 , 2009-10 , 2010-11",2011-12,25 seasons
New York Islanders,1992-93,"0 7 : 1993-94 , 2001-02 , 2002-03 , 2003-04 , 2006-07 , 2012-13 , 2014-15",2015-16,23 seasons
Florida Panthers,1995-96,"0 4 : 1996-97 , 1999-2000 , 2011-12 , 2015-16",,22 seasons
New York Rangers,1949-50,"0 8 : 1955-56 , 1956-57 , 1957-58 , 1961-62 , 1966-67 , 1967-68 , 1968-69 , 1969-70",1970-71,20 seasons
Atlanta Thrashers / Winnipeg Jets,never ( inception of franchise in 1999-2000 ),"0 2 : 2006-07 , 2014-15",2017-18,17 seasons
Columbus Blue Jackets,never ( inception of franchise in 2000-01 ),"0 4 : 2008-09 , 2013-14 , 2016-17 , 2017-18",2018-19,17 seasons
Chicago Black Hawks,1943-44,"0 4 : 1945-46 , 1952-53 , 1958-59 , 1959-60",1960-61,16 seasons
Hartford Whalers / Carolina Hurricanes,1985-86,"0 8 : 1986-87 , 1987-88 , 1988-89 , 1989-90 , 1990-91 , 1991-92 , 1998-99 , 2000-01",2001-02,15 seasons
Calgary Flames,1988-89,"0 6 : 1989-90 , 1990-91 , 1992-93 , 1993-94 , 1994-95 , 1995-96",2003-04,14 seasons
Toronto Maple Leafs,2003-04,"4 : 2012-13 , 2016-17 , 2017-18 , 2018-19",,14 seasons
