Route,Length ( mi ),Length ( km ),From,Via,To
CR 200,2.97,4.78,CR 201 / CR 202 in Walworth,North Lincoln Road,NY 104 in Ontario
CR 201,4.36,7.02,Monroe County line ( becomes CR 11 ),Plank Road in Walworth,NY 350
CR 202,1.40,2.25,NY 286 / CR 203 / CR 204,South Lincoln Road in Walworth,CR 200 / CR 201
CR 203,4.33,6.97,Monroe County line,Atlantic Avenue in Walworth,NY 350
CR 204 ( 1 ),3.45,5.55,CR 206A in Macedon,West Walworth Road,NY 441 in Walworth
CR 204 ( 2 ),2.03,3.27,NY 441,West Walworth Road in Walworth,NY 286 / CR 202 / CR 203
CR 205,1.00,1.61,NY 350 / NY 441,Penfield-Walworth Road in Walworth,CR 207 / CR 208
CR 205A,3.65,5.87,NY 441 in Walworth,Gananda Parkway,Eddy Road in Macedon
CR 206,1.50,2.41,NY 31 / CR 306,North Wayneport Road in Macedon,CR 206A
CR 206A,0.50,0.80,CR 206,Quaker Road in Macedon,CR 204
CR 207,4.40,7.08,CR 205 / CR 208 in Walworth,Walworth-Marion Road and Buffalo Street,CR 216 in Marion
CR 208,5.69,9.16,NY 31 in Macedon,Walworth Road,CR 205 / CR 207 in Walworth
CR 209,3.22,5.18,NY 350 in Macedon,Macedon Center Road,CR 210 in Palmyra
CR 210,5.29,8.51,Palmyra village line in Palmyra,Maple Avenue,CR 207 in Marion
CR 212,5.19,8.35,CR 214 in Marion,Ridge Chapel Road,CR 103 in Williamson
CR 214,1.30,2.09,CR 207,Dean Road in Marion,CR 212
CR 215,2.35,3.78,CR 218 in Marion,Owls Nest Road,CR 228 / CR 229 in Sodus
CR 216,1.63,2.62,NY 21,Main Street in Marion,NY 21
CR 217,2.52,4.06,CR 218 in Marion,Skinner Road,CR 228 in Arcadia
CR 218,6.55,10.54,CR 216 in Marion,Marion-East Williamson Road,CR 103 / CR 118 in Williamson
