Player,Recruited from,Club
Matthew Smith,Oakleigh U18,Adelaide
Leigh Ryswyk,Southport Sharks,Brisbane Lions
Adam Bentick,Calder Cannons,Carlton
Andrew Carrazzo,Geelong,Carlton
Nick Maxwell,North Ballarat Football Club,Collingwood
Steven Dodd,East Fremantle Football Club,Fremantle
Dylan Smith,Kangaroos,Fremantle
Shannon Byrnes,Murray Bushrangers,Geelong
Josh Thurgood,North Ballarat Roosters,Hawthorn
Aaron Davey,Port Melbourne Boroughs,Melbourne
Kelvin Moore,Yarra Valley Football Club,Richmond
Dylan Pfitzner,Central District Bulldogs,St Kilda
Nick Stone,Hawthorn,St Kilda
Paul Bevan,NSW-ACT U18,Sydney Swans
Brett Jones,Claremont Football Club,West Coast Eagles
