Medal,Name,Sport,Event
Gold,Martin Lundström,Cross-country skiing,Men 's 18 km
Gold,Nils Karlsson,Cross-country skiing,Men 's 50 km
Gold,Nils Östensson Nils Täpp Gunnar Eriksson Martin Lundström,Cross-country skiing,Men 's 4 x 10 km relay
Gold,Åke Seyffarth,Speed skating,"Men 's 10,000m"
Silver,Nils Östensson,Cross-country skiing,Men 's 18 km
Silver,Harald Eriksson,Cross-country skiing,Men 's 50 km
Silver,Åke Seyffarth,Speed skating,Men 's 1500m
Bronze,Gunnar Eriksson,Cross-country skiing,Men 's 18 km
Bronze,Sven Israelsson,Nordic combined,Men 's individual
Bronze,Göthe Hedlund,Speed skating,Men 's 5000m
