Club,City,Champions,Runner-up,Years won,Years runner-up
Real Madrid,Madrid,10,8,"1964 , 1965 , 1967 , 1968 , 1974 , 1978 , 1980 , 1995 , 2015 , 2018","1962 , 1963 , 1969 , 1975 , 1976 , 1985 , 2013 , 2014"
CSKA Moscow,Moscow,8,6,"1961 , 1963 , 1969 , 1971 , 2006 , 2008 , 2016 , 2019","1965 , 1970 , 1973 , 2007 , 2009 , 2012"
Maccabi Tel Aviv,Tel Aviv,6,9,"1977 , 1981 , 2001 , 2004 , 2005 , 2014","1980 , 1982 , 1987 , 1988 , 1989 , 2000 , 2006 , 2008 , 2011"
Panathinaikos,Athens,6,1,"1996 , 2000 , 2002 , 2007 , 2009 , 2011",2001
Varese,Varese,5,5,"1970 , 1972 , 1973 , 1975 , 1976","1971 , 1974 , 1977 , 1978 , 1979"
Olympiacos,Piraeus,3,5,"1997 , 2012 , 2013","1994 , 1995 , 2010 , 2015 , 2017"
Olimpia Milano,Milano,3,2,"1966 , 1987 , 1988","1967 , 1983"
Rīgas ASK,Riga,3,1,"1958 , 1959 , 1960",1961
Split,Split,3,1,"1989 , 1990 , 1991",1972
FC Barcelona,Barcelona,2,5,"2003 , 2010","1984 , 1990 , 1991 , 1996 , 1997"
Virtus Bologna,Bologna,2,3,"1998 , 2001","1981 , 1999 , 2002"
Cantù,Cantù,2,0,"1982 , 1983",
Cibona,Zagreb,2,0,"1985 , 1986",
Fenerbahçe,Istanbul,1,2,2017,"2016 , 2018"
Dinamo Tbilisi,Tbilisi,1,1,1962,1960
Joventut,Badalona,1,1,1994,1992
Žalgiris,Kaunas,1,1,1999,1986
Bosna,Sarajevo,1,0,1979,
Virtus Roma,Rome,1,0,1984,
Partizan,Belgrade,1,0,1992,
