Church,Dates,"City , State"
First Methodist Episcopal Church of Delta,1910 built 1991 NRHP-listed,"Delta , Colorado"
Christ Methodist Episcopal Church,built NRHP-listed,"Denver , Colorado"
Trinity United Methodist Church,built NRHP-listed,"Denver , Colorado"
Amanda K. Alger Memorial Methodist Episcopal Church,built NRHP-listed,"Eaton , Colorado"
Hotchkiss Methodist Episcopal Church,built NRHP-listed,"Hotchkiss , Colorado"
Methodist Episcopal Church,built NRHP-listed,"Idaho Springs , Colorado"
First Methodist Episcopal Church,built NRHP-listed,"Monte Vista , Colorado"
Methodist Episcopal Church of Montrose,1920 built 1999 NRHP-listed,"Montrose , Colorado"
Ruth Memorial Methodist Episcopal Church,built NRHP-listed,"Parker , Colorado"
First Methodist Episcopal Church,1902 built 1979 NRHP-listed,"Pueblo , Colorado"
Stonington First Methodist-Episcopal Church,built NRHP-listed,"Stonington , Colorado"
First Methodist Episcopal Church,built NRHP-listed,"Trinidad , Colorado"
First Methodist Episcopal Church,built NRHP-listed,"Windsor , Colorado"
Dolores United Methodist Church,,"Dolores , Colorado"
