Year,Champions,2nd,3rd,Winning Time,Venue
1990,Somerville,St Margaret 's,Brisbane State High School,,Brisbane River
1991,Somerville,Brisbane State High School,St Margaret 's,,Brisbane River
1992,Brisbane State High School,Somerville,All Hallows,,Brisbane River
1993,Brisbane State High School,Brisbane Girls Grammar,Somerville,,Brisbane River
1994,Somerville,Brisbane State High School,All Hallows,,Wivenhoe Dam
1995,Somerville,St Margaret 's,Brisbane State High School,,Hinze Dam
1996,All Hallows,Somerville,Brisbane State High School,,
1997,St Margaret 's,All Hallows,Somerville,,
1998,Stuartholme,St Margaret 's,Somerville,,
1999,St Margaret 's,Somerville,St Aidan 's,6 min 58.4 sec,Wivenhoe Dam
2000,All Hallows,St Margaret 's,St Aidan 's,7 min 19.0 sec,Wivenhoe Dam
2001,St Margaret 's,All Hallows,Stuartholme,6 min 45.5 sec,Wivenhoe Dam
2002,St Margaret 's,Stuartholme,Somerville,6 min 54.0 sec,Wivenhoe Dam
2003,Somerville,St Margaret 's,All Hallows,6 min 56.0 sec,Wivenhoe Dam
2004,St Aidan 's,St Margaret 's,All Hallows,6 min 49.0 sec,Wivenhoe Dam
2005,St Margaret 's,St Aidan 's,Somerville,7 min 39.0 sec,Hinze Dam
2006,Somerville,St Margaret 's,Brisbane Girls Grammar,6 min 50.0 sec,Hinze Dam
2007,St Margaret 's,St Peter 's,Somerville,6 min 51.0 sec,Hinze Dam
2008,St Peter 's,St Margaret 's,St Aidan 's,7 min 47.0 sec,Lake Kawana
2009,St Margaret 's,St Peter 's,Brisbane Girls Grammar,8 min 7.86 sec,Lake Kawana
