Rank,Athlete,Nationality,Time
1,Alain Mimoun,France,47:50
2,Raphaël Pujazon,France,47:51
3,Charles Cérou,France,47:55
4,Steve McCooke,Ireland,47:59
5,Geoff Saunders,England,48:14
6,André Paris,France,48:27
7,Frank Aaron,England,48:32
8,Roger Petitjean,France,48:37
9,Constantino Miranda,Spain,48:46
10,Reg Gosney,England,48:48
11,Jose Coll,Spain,48:55
12,John Doms,Belgium,49:01
13,Mohamed Brahim,France,49:06
14,John Barry,Ireland,49:07
15,Andy Forbes,Scotland,49:14
16,Harry Hicks,England,49:15
17,Raymond Allix,France,49:16
18,Lucien Theys,Belgium,49:20
19,Patrick Fahy,Ireland,49:21
20,Willy De Neef,Belgium,49:22
