Round,Pick,Player,Position,School
1,17,Sean Farrell,Guard,Penn State
2,32 ( from Chicago ),Booker Reese,Defensive end,Bethune-Cookman
3,74,Jerry Bell,Tight end,Arizona State
3,83 ( from San Diego ),John Cannon,Defensive end,William and Mary
4,103 ( from San Diego ),Dave Barrett,Running nack,Houston
5,128,Jeff Davis,Linebacker,Clemson
6,158,Andre Tyler,Wide receiver,Stanford
7,185,Tom Morris,Defensive back,Michigan State
8,212,Kelvin Atkins,Linebacker,Illinois
9,242,Bob Lane,Quarterback,Northeast Louisiana
12,325,Michael Morton,Running back,UNLV
