Song,Album,Year,Length,Author,Producer
A Foggy Day,Rufus Does Judy at Carnegie Hall,2007,2:55,"George Gershwin , Ira Gershwin",Phil Ramone
Across the Universe,I Am Sam,2002,4:08,Lennon-McCartney,
Across the Universe,Poses [ US ],2002,4:10,Lennon-McCartney,
After You 've Gone ( with Lorna Luft ),Rufus Does Judy at Carnegie Hall,2007,2:57,"Henry Creamer , Turner Layton",Phil Ramone
Albatross,Born to the Breed,2008,5:14,Judy Collins,
Alone Together,Rufus Does Judy at Carnegie Hall,2007,3:21,"Howard Dietz , Arthur Schwartz",Phil Ramone
Banks of the Wabash,The Myth of Fingerprints,1997,4:34,Paul Dresser,
Bewitched,The History Boys,2006,5:21,"Lorenz Hart , Richard Rodgers",
Chelsea Hotel No . 2,Want,2005,3:55,Leonard Cohen,Hal Willner
Chelsea Hotel No . 2,Leonard Cohen : I 'm Your Man,2006,3:47,Leonard Cohen,Hal Willner
Chicago,Rufus Does Judy at Carnegie Hall,2007,4:30,Fred Fisher,Phil Ramone
Coeur de Parisienne - Reprise d'Arletty,Want Two [ Canada ],2004,2:46,Arletty,
Come Rain or Come Shine,Rufus Does Judy at Carnegie Hall,2007,3:56,"Harold Arlen , Johnny Mercer",Phil Ramone
Complainte de la Butte,Moulin Rouge !,2001,3:05,"Jean Renoir , Georges Van Parys","Michel Pepin , Wainwright"
Do It Again,Rufus Does Judy at Carnegie Hall,2007,5:15,"George Gershwin , Buddy DeSylva",Phil Ramone
Everybody Knows,Leonard Cohen : I 'm Your Man,2006,4:30,Leonard Cohen,Hal Willner
Ev'ry Time We Say Goodbye ( feat . Kate McGarrigle ),Rufus ! Does Judy !,2007,3:13,Cole Porter,
Get Happy,Rufus Does Judy at Carnegie Hall,2007,3:12,"Harold Arlen , Ted Koehler",Phil Ramone
Hallelujah,Shrek,2001,4:08,Leonard Cohen,
He Ai n't Heavy ... He 's My Brother,Zoolander,2001,4:38,"Bobby Scott , Bob Russell",
