League,Current Sponsored,Game,Participation,Seasons,Teams
All India & South Asia Rugby Tournament,,Rugby Union,Club Teams,6,10
Champions Tennis League ( CTL ),Aircel,Tennis,Club Teams,2,6
Deodhar Trophy,,Cricket ( List A ),Zonal Teams,44,5
Duleep Trophy,,Cricket ( First Class ),Zonal Teams,56,5
Elite Football League of India,,American Football,Club Teams,2,24
Golf Premier League,,Golf,Club Teams,1,8
Hockey India League ( HIL ),Hero,Hockey,Club Teams,4,6
Indian Premier League ( IPL ),Vivo,Cricket ( Twenty20 ),Club Teams,10,8
Indian Super League ( ISL ),Hero,Football,Club Teams,3,10
Indian Volley League,,Volleyball,Club Teams,1,6
I-League,Hero,Football,Club Teams,10,10
I-League 2nd Division,Hero,Football,Club Teams,10,18
Premier Badminton League ( PBL ),"Star Sports , Bridgestone",Badminton,Club Teams,5,7
Premier Futsal,,Futsal,Club Teams,1,6
Pro Kabaddi League ( PKL ),Vivo,Kabaddi,Club Teams,6,12
Pro Wrestling League ( PWL ),Patanjali,Wrestling,Club Teams,1,8
Ranji Trophy,Paytm,Cricket ( First Class ),State Teams,82,27
UBA Pro Basketball League,,Basketball,Club Teams,4,8
Vijay Hazare Trophy,,Cricket ( List A ),State Teams,15,27
Women 's Kabaddi Challenge ( PKL ),Star Sports,Kabaddi,Club Teams,1,3
