Actor,Episode Date,Episode No,Note
Sushant Singh Rajput,1 June 2013,Ep01,Introduced female contestants in the Grand Premiere episode
Jacqueline Fernandez,1 June 2013,Ep01,Introduced male contestants in the Grand Premiere episode
Ranbir Kapoor,1 June 2013,Ep01,To promote his film Yeh Jawani Hai Deewani
"Dharmendra , Sunny Deol & Bobby Deol",2 June 2013,Ep02,To promote their film Yamla Pagla Deewana 2
Sunny Leone,8 June 2013,Ep03,To announce First Elimination Result
Ranveer Singh,16 June 2013,Ep06,To promote his film Lootera
Sonam Kapoor & Dhanush,22 June 2013,Ep07,To promote their film Raanjhanaa
Vidya Balan,23 June 2013,Ep08,To promote her film Ghanchakkar
Farhan Akhtar,6 July 2013,Ep11,To promote his film Bhaag Milkha Bhaag
Shahrukh Khan & Rohit Shetty,7 July 2013,Ep12,To promote their film Chennai Express
Prabhu Deva & Girish Kumar,13 July 2013,Ep13,To promote their film Ramaiya Vastavaiya
Vivian Dsena,14 July 2013,Ep14,To support Drashti Dhami
Mika Singh,21 July 2013,Ep16,To support Shaan
Rishi Kapoor & Arjun Rampal,21 July 2013,Ep16,To promote their film D-Day
Shakti Mohan & Neeti Mohan,27 July 2013,Ep17,To support Mukti Mohan
Sanaya Irani,28 July 2013,Ep18,To support Drashti Dhami
John Abraham,3 August 2013,Ep19,To promote his film Madras Cafe
Riteish Deshmukh,10 August 2013,Ep21,To promote his film Grand Masti
Bharti Singh,24 August 2013,Ep25,In Teen ka tadka episode
Ram Charan & Priyanka Chopra,24 August 2013,Ep25,To promote their film Zanjeer
